datetime,OZONE_COOK_AND_PHILLIP,OZONE_EARLWOOD,OZONE_LIDCOMBE,OZONE_MACQUARIE_PARK,OZONE_RANDWICK,OZONE_ROZELLE,forecast_hours
2023/06/10 23:00,0.2817,0.012,1.454312,0.06525,0.069175,0.12595,-47
2023/06/11 0:00,0.5155,0.0038,0.528812,0.05695,0.118075,0.07435,-46
2023/06/11 1:00,0.5155,0.0038,0.528812,0.05695,0.118075,0.07435,-45
2023/06/11 2:00,0.1225,0.023365787,0.091615,0.20705,0.355675,0.1083,-44
2023/06/11 3:00,0.2278,-0.0157,0.073815,0.120075,0.672875,0.058,-43
2023/06/11 4:00,0.0177,0.0128,0.075915,0.149475,0.378675,0.0713,-42
2023/06/11 5:00,0.1547,0.0038,0.051515,0.119575,0.210575,0.1791,-41
2023/06/11 6:00,0.1385,0.0007,0.054315,0.096075,0.090875,0.3658,-40
2023/06/11 7:00,0.4153,0.1017,0.115315,0.213175,0.294475,0.5441,-39
2023/06/11 8:00,0.7078,0.4415,0.621915,0.619875,0.841975,0.9999,-38
2023/06/11 9:00,0.9512,1.1513,1.382715,1.251375,1.318575,1.2143,-37
2023/06/11 10:00,1.0975,1.6308,1.714415,1.556975,1.459675,1.5488,-36
2023/06/11 11:00,1.2295,1.7167,2.168015,1.788375,1.780975,1.8522,-35
2023/06/11 12:00,1.8008,2.375,2.422015,2.095675,2.156075,2.2801,-34
2023/06/11 13:00,1.5495,2.0765,2.503015,2.169275,2.301075,2.1922,-33
2023/06/11 14:00,1.0392,2.1345,2.692915,2.253475,2.522775,1.8697,-32
2023/06/11 15:00,1.449,1.8222,2.326915,2.535975,2.641975,1.6947,-31
2023/06/11 16:00,0.4647,1.5718,1.487215,1.936475,2.224575,1.2592,-30
2023/06/11 17:00,0.0175,0.5023,0.727415,1.131275,0.880275,0.8389,-29
2023/06/11 18:00,-0.1498,0.026,0.135415,0.431175,0.242075,0.6299,-28
2023/06/11 19:00,-0.1915,0.0055,0.104715,0.331075,0.527475,0.8231,-27
2023/06/11 20:00,-0.1893,0.0158,0.093715,0.257575,0.366975,0.0903,-26
2023/06/11 21:00,-0.181,0.0075,0.116115,0.184975,0.587175,0.1024,-25
2023/06/11 22:00,-0.0687,-0.0017,0.105615,0.120375,0.446975,0.0781,-24
2023/06/11 23:00,-0.1955,0.0092,0.091915,0.071175,0.036475,0.0807,-23
2023/06/12 0:00,-0.1727,-0.0045,0.066015,0.050675,0.013775,0.0705,-22
2023/06/12 1:00,-0.1727,-0.0045,0.066015,0.050675,0.013775,0.0705,-21
2023/06/12 2:00,-0.2412,-0.0174,0.029035,0.209975,0.067925,0.124275,-20
2023/06/12 3:00,-0.1355,-0.033,0.027635,0.10365,0.034525,0.100875,-19
2023/06/12 4:00,-0.1027,0.0447,0.012035,0.08145,0.053625,0.080775,-18
2023/06/12 5:00,-0.098,0.0637,-0.007365,0.08555,0.067825,0.068375,-17
2023/06/12 6:00,-0.1293,0.0618,-0.003065,0.09045,0.028525,0.070975,-16
