datetime,OZONE_BRINGELLY,OZONE_CAMDEN,OZONE_CAMPBELLTOWN_WEST,OZONE_LIVERPOOL,forecast_hours
2023-04-17 04:00:00+10:00,0.3325,0.704326,0.8332,0.0083,-47
2023-04-17 05:00:00+10:00,0.182,0.341526,0.7815,0.0767,-46
2023-04-17 06:00:00+10:00,0.0977,0.272526,0.424,0.1188,-45
2023-04-17 07:00:00+10:00,0.2987,0.315326,0.9832,0.457,-44
2023-04-17 08:00:00+10:00,1.2315,0.694126,1.511,1.0115,-43
2023-04-17 09:00:00+10:00,2.0227,1.811726,1.4717,1.3525,-42
2023-04-17 10:00:00+10:00,2.2735,2.312326,1.824,1.7658,-41
2023-04-17 11:00:00+10:00,2.5545,2.637726,2.501,2.2727,-40
2023-04-17 12:00:00+10:00,2.8277,2.869826,2.6243,2.4498,-39
2023-04-17 13:00:00+10:00,3.0018,2.912426,2.5995,2.5585,-38
2023-04-17 14:00:00+10:00,3.0383,3.122626,2.7842,2.4952,-37
2023-04-17 15:00:00+10:00,2.7025,3.019526,2.7105,2.3622,-36
2023-04-17 16:00:00+10:00,2.3475,2.635026,2.4365,2.1357,-35
2023-04-17 17:00:00+10:00,2.261,2.300726,2.096,1.3418,-34
2023-04-17 18:00:00+10:00,1.8647,1.883026,0.6258,0.405,-33
2023-04-17 19:00:00+10:00,1.4505,1.428426,0.1997,0.0805,-32
2023-04-17 20:00:00+10:00,1.0597,1.221126,0.8957,-0.0063,-31
2023-04-17 21:00:00+10:00,0.5742,1.071126,0.028,0.0172,-30
2023-04-17 22:00:00+10:00,0.4048,0.744626,0.0317,-0.0132,-29
2023-04-17 23:00:00+10:00,0.276,0.337926,0.0183,-0.0078,-28
2023-04-18 00:00:00+10:00,0.1127,0.139426,0.0205,0.0045,-27
2023-04-18 01:00:00+10:00,0.1127,0.139426,0.0205,0.0045,-26
2023-04-18 02:00:00+10:00,0.2238,0.316149,0.1259,0.0379,-25
2023-04-18 03:00:00+10:00,0.0675,0.208549,0.2352,0.0315,-24
2023-04-18 04:00:00+10:00,0.0797,0.143549,0.0025,0.0363,-23
2023-04-18 05:00:00+10:00,0.0672,0.199649,0.0423,0.0315,-22
2023-04-18 06:00:00+10:00,0.08,0.089549,0.0178,0.0337,-21
2023-04-18 07:00:00+10:00,0.1403,0.184949,0.2023,0.1042,-20
2023-04-18 08:00:00+10:00,0.5253,0.371749,0.4337,0.39941922,-19
2023-04-18 09:00:00+10:00,1.3957,1.295949,1.3458,0.699,-18
2023-04-18 10:00:00+10:00,2.351,2.136449,2.3103,1.5878,-17
2023-04-18 11:00:00+10:00,2.436,2.495649,2.3745,2.246443562,-16
2023-04-18 12:00:00+10:00,2.345,2.550349,2.5737,2.271074829,-15
2023-04-18 13:00:00+10:00,2.2535,2.470549,2.2805,2.09871406,-14
2023-04-18 14:00:00+10:00,2.2038,2.267749,2.135,2.018931822,-13
2023-04-18 15:00:00+10:00,2.359,2.290549,2.3865,2.215414421,-12
2023-04-18 16:00:00+10:00,2.2737,2.250949,2.1553,2.070372531,-11
2023-04-18 17:00:00+10:00,1.6902,1.839349,1.4038,1.428548542,-10
2023-04-18 18:00:00+10:00,0.8435,1.650849,0.7847,0.671196228,-9
2023-04-18 19:00:00+10:00,0.6757,1.109149,0.3553,0.420088283,-8
2023-04-18 20:00:00+10:00,0.3558,0.728749,0.0403,0.116226397,-7
2023-04-18 21:00:00+10:00,0.1708,0.413149,-0.0005,0.003832124,-6
2023-04-18 22:00:00+10:00,0.0603,0.333649,-0.0017,-0.059294408,-5
