datetime,NO2_BRINGELLY,NO2_CAMDEN,NO2_CAMPBELLTOWN_WEST,NO2_LIVERPOOL,OZONE_BRINGELLY,OZONE_CAMDEN,OZONE_CAMPBELLTOWN_WEST,OZONE_LIVERPOOL,WDR_BRINGELLY,WDR_CAMDEN,WDR_CAMPBELLTOWN_WEST,WDR_LIVERPOOL,WSP_BRINGELLY,WSP_CAMDEN,WSP_CAMPBELLTOWN_WEST,WSP_LIVERPOOL,hour,season_number,forecast_hours
2019-01-01 10:00:00+10:00,0.2628,0.324783,0.288695,0.249159,6.2133,6.1122,5.0473,5.596,67.157,105.365,282.4,89.512,0.799,0.629,0.217,0.94,10,1,-11
2019-01-01 11:00:00+10:00,0.2103,0.240199,0.415773,0.440914,6.0963,5.7623,6.5732,7.61,85.426,37.385,62.489,75.499,1.682,0.898,3.315,3.24,11,1,-10
2019-01-01 12:00:00+10:00,0.3683,0.34598,0.458698,0.454959,7.8137,7.2683,7.5747,7.6375,96.348,61.972,66.53,85.311,3.699,2.694,3.867,3.693,12,1,-9
2019-01-01 13:00:00+10:00,0.3288,0.362998,0.382132,0.53333,7.971,7.8617,6.5655,7.3348,80.148,57.746,72.273,98.87,3.347,2.623,3.975,4.487,13,1,-8
2019-01-01 14:00:00+10:00,0.3557,0.276478,0.266334,0.346563,7.7947,6.8163,5.4002,6.0898,95.966,51.577,68.642,102.612,3.471,3.031,3.962,4.442,14,1,-7
2019-01-01 15:00:00+10:00,0.2903,0.230008,0.236886,0.337199,6.7655,6.1343,5.2158,5.8633,95.182,55.236,79.004,83.211,3.984,2.838,4.782,4.278,15,1,-6
2019-01-01 16:00:00+10:00,0.2257,0.193321,0.240779,0.311143,5.8617,5.5537,5.0012,5.1632,94.445,68.329,78.086,91.877,3.525,2.314,4.307,4.09,16,1,-5
2019-01-01 17:00:00+10:00,0.2108,0.270364,0.364363,0.426766,5.0402,5.17,4.997,5.4915,97.196,69.09,72.763,83.598,3.274,1.889,3.666,3.702,17,1,-4
2019-01-01 18:00:00+10:00,0.3613,0.356476,0.513901,0.528547,5.3748,5.2095,5.3218,5.7198,88.173,66.767,65.913,89.714,2.248,1.421,2.946,2.955,18,1,-3
2019-01-01 19:00:00+10:00,0.7675,0.574968,0.902122,0.786968,5.0577,5.114,5.4138,5.179,97.08,79.831,72.958,102.415,1.685,0.79,2.265,2.308,19,1,-2
2019-01-01 20:00:00+10:00,0.9952,0.829332,1.063939,1.221673,4.5623,4.9225,4.6448,3.697,105.903,95.966,68.905,111.06,1.397,0.673,1.511,1.632,20,1,-1
2019-01-01 21:00:00+10:00,1.187,1.03264,1.289744,1.722637,3.7372,3.9432,3.509,2.5365,114.366,180,71.017,122.463,1.461,0.318,0.705,0.723,21,1,0
2019-01-01 11:00:00+10:00,,,,,1.811662436,1.981660485,1.422594428,1.56401372,,,,,,,,,,,1
2019-01-01 12:00:00+10:00,,,,,1.799045563,1.965211391,1.475511789,1.582353354,,,,,,,,,,,2
2019-01-01 13:00:00+10:00,,,,,1.795884967,1.986819744,1.431917071,1.57916081,,,,,,,,,,,3
2019-01-01 14:00:00+10:00,,,,,1.785336256,2.006807566,1.436517954,1.59269762,,,,,,,,,,,4
2019-01-01 15:00:00+10:00,,,,,1.777455449,2.038374424,1.481671095,1.529198408,,,,,,,,,,,5
2019-01-01 16:00:00+10:00,,,,,1.799342513,1.994802117,1.3564713,1.528107405,,,,,,,,,,,6
2019-01-01 17:00:00+10:00,,,,,1.763366103,1.953834176,1.408522487,1.542739987,,,,,,,,,,,7
2019-01-01 18:00:00+10:00,,,,,1.805206418,1.993246794,1.418100238,1.511853099,,,,,,,,,,,8
2019-01-01 19:00:00+10:00,,,,,1.772087812,1.994626284,1.395570755,1.520570397,,,,,,,,,,,9
2019-01-01 20:00:00+10:00,,,,,1.758706808,1.97355175,1.391000748,1.536314368,,,,,,,,,,,10
2019-01-01 21:00:00+10:00,,,,,1.877039552,1.971852779,1.42870152,1.52179265,,,,,,,,,,,11
2019-01-01 22:00:00+10:00,,,,,1.775855184,1.987890124,1.369533777,1.548630595,,,,,,,,,,,12
2019-01-01 23:00:00+10:00,,,,,1.813740134,1.948782921,1.440794587,1.472431183,,,,,,,,,,,13
2019-01-02 00:00:00+10:00,,,,,1.818159461,1.999818325,1.489003181,1.568069339,,,,,,,,,,,14
2019-01-02 01:00:00+10:00,,,,,1.783525944,1.998910666,1.444278359,1.534065485,,,,,,,,,,,15
2019-01-02 02:00:00+10:00,,,,,1.768738508,1.973225236,1.411161184,1.523514271,,,,,,,,,,,16
2019-01-02 03:00:00+10:00,,,,,1.782364368,1.987801194,1.453393579,1.501056552,,,,,,,,,,,17
2019-01-02 04:00:00+10:00,,,,,1.813787222,1.964722991,1.401027441,1.53444159,,,,,,,,,,,18
2019-01-02 05:00:00+10:00,,,,,1.848555684,2.025084019,1.496510744,1.623313665,,,,,,,,,,,19
2019-01-02 06:00:00+10:00,,,,,1.781430006,2.015737772,1.419886708,1.501840115,,,,,,,,,,,20
2019-01-02 07:00:00+10:00,,,,,1.766498923,2.011800051,1.434188247,1.523944139,,,,,,,,,,,21
2019-01-02 08:00:00+10:00,,,,,1.81345892,2.029412985,1.42323792,1.556626201,,,,,,,,,,,22
2019-01-02 09:00:00+10:00,,,,,1.752164841,1.931109667,1.404334068,1.497889161,,,,,,,,,,,23
2019-01-02 10:00:00+10:00,,,,,1.842713594,1.971760869,1.374163628,1.511509657,,,,,,,,,,,24
