datetime,NO2_BRINGELLY,NO2_CAMDEN,NO2_CAMPBELLTOWN_WEST,NO2_LIVERPOOL,OZONE_BRINGELLY,OZONE_CAMDEN,OZONE_CAMPBELLTOWN WEST,OZONE_LIVERPOOL,OZONE_CAMPBELLTOWN,OZONE_ABERDEEN,OZONE_BULGA,OZONE_CAMBERWELL,OZONE_JERRYS PLAINS,OZONE_MAISON DIEU,OZONE_MERRIWA,OZONE_MOUNT THORLEY,OZONE_MUSWELLBROOK,OZONE_MUSWELLBROOK NW,OZONE_SINGLETON,OZONE_SINGLETON NW,OZONE_SINGLETON SOUTH,OZONE_WARKWORTH,OZONE_WYBONG,OZONE_BERESFIELD,OZONE_CARRINGTON,OZONE_MAYFIELD,OZONE_NEWCASTLE,OZONE_STOCKTON,OZONE_WALLSEND,OZONE_MORISSET,OZONE_WYONG,OZONE_ALBION PARK,OZONE_ALBION PARK RAIL,OZONE_ALBION PARK SOUTH,OZONE_KEMBLA GRANGE,OZONE_WARRAWONG,OZONE_WOLLONGONG,OZONE_BRADFIELD HIGHWAY,OZONE_ALBURY,OZONE_ARMIDALE,OZONE_BATHURST,OZONE_COFFS HARBOUR,OZONE_GOULBURN,OZONE_GUNNEDAH,OZONE_NARRABRI,OZONE_ORANGE,OZONE_PORT MACQUARIE,OZONE_TAMWORTH,OZONE_WAGGA WAGGA,OZONE_WAGGA WAGGA NORTH,OZONE_BARGO,OZONE_BLACKTOWN ,OZONE_CHULLORA,OZONE_COOK AND PHILLIP,OZONE_EARLWOOD,OZONE_LIDCOMBE,OZONE_LIDCOMBE (FORMER),OZONE_LINDFIELD,OZONE_LIVERPOOL,OZONE_MACARTHUR,OZONE_MACQUARIE PARK,OZONE_OAKDALE,OZONE_PARRAMATTA NORTH ,OZONE_PENRITH,OZONE_PROSPECT,OZONE_RANDWICK,OZONE_RICHMOND,OZONE_ROUSE HILL,OZONE_ROZELLE,OZONE_ST MARYS,OZONE_SYDNEY,OZONE_VINEYARD,OZONE_WOOLOOWARE,OZONE_ARMIDALE,OZONE_BOURKE,OZONE_BROKEN HILL,OZONE_BURONGA,OZONE_COBAR,OZONE_CONDOBOLIN,OZONE_COOMA,OZONE_COOMBAH,OZONE_COWRA,OZONE_DENILIQUIN,OZONE_DUBBO,OZONE_EUSTON,OZONE_GRAFTON,OZONE_GRIFFITH,OZONE_GUNNEDAH,OZONE_GUNNEDAH SOUTH EAST,OZONE_HAY,OZONE_HILLSTON,OZONE_IVANHOE,OZONE_JUNEE,OZONE_KYALITE,OZONE_LAKE VICTORIA,OZONE_LAMEROO,OZONE_LISMORE,OZONE_LODDON PLAINS,OZONE_MERIMBULA,OZONE_MOOLAWATANA,OZONE_MOREE,OZONE_NARRANDERA,OZONE_PARKES,OZONE_POONCARIE,OZONE_RAND,OZONE_TEMORA,OZONE_TIBOOBURRA,OZONE_WAGGA WAGGA NORTH,OZONE_WALGETT,OZONE_WALPEUP,OZONE_WERRIMULL,OZONE_WEST WYALONG,OZONE_WHITE CLIFFS,OZONE_WYCHEPROOF,OZONE_CAMMERAY,OZONE_CATARACT RFS,OZONE_KATOOMBA,OZONE_KURRAJONG HEIGHTS,OZONE_LIVERPOOL SWAQS,OZONE_PORT KEMBLA,OZONE_PORT KEMBLA STEELWORKS,OZONE_WENTWORTH FALLS,OZONE_KURRI KURRI,OZONE_BOWRAL,OZONE_BATEMANS BAY,OZONE_COFFS HARBOUR,OZONE_COFFS HARBOUR,OZONE_COOMA,OZONE_GRAFTON,OZONE_LISMORE,OZONE_MERIMBULA,OZONE_PORT MACQUARIE,OZONE_TAREE,OZONE_ULLADULLA,PM25_CAMDEN,PM25_LIVERPOOL,PM25_BRINGELLY,WDR_BRINGELLY,WDR_CAMDEN,WDR_CAMPBELLTOWN_WEST,WDR_LIVERPOOL,WSP_BRINGELLY,WSP_CAMDEN,WSP_CAMPBELLTOWN_WEST,WSP_LIVERPOOL,hour,season_number,forecast_hours,PM25_ABERDEEN,PM25_BULGA,PM25_CAMBERWELL,PM25_JERRYS PLAINS,PM25_MAISON DIEU,PM25_MERRIWA,PM25_MOUNT THORLEY,PM25_MUSWELLBROOK,PM25_MUSWELLBROOK NW,PM25_SINGLETON,PM25_SINGLETON NW,PM25_SINGLETON SOUTH,PM25_WARKWORTH,PM25_WYBONG,PM25_BERESFIELD,PM25_CARRINGTON,PM25_MAYFIELD,PM25_NEWCASTLE,PM25_STOCKTON,PM25_WALLSEND,PM25_MORISSET,PM25_WYONG,PM25_ALBION PARK,PM25_ALBION PARK RAIL,PM25_ALBION PARK SOUTH,PM25_KEMBLA GRANGE,PM25_WARRAWONG,PM25_WOLLONGONG,PM25_BRADFIELD HIGHWAY,PM25_ALBURY,PM25_ARMIDALE,PM25_BATHURST,PM25_COFFS HARBOUR,PM25_GOULBURN,PM25_GUNNEDAH,PM25_NARRABRI,PM25_ORANGE,PM25_PORT MACQUARIE,PM25_TAMWORTH,PM25_WAGGA WAGGA,PM25_WAGGA WAGGA NORTH,PM25_BARGO,PM25_BLACKTOWN ,PM25_BRINGELLY,PM25_CAMDEN,PM25_CAMPBELLTOWN,PM25_CAMPBELLTOWN WEST,PM25_CHULLORA,PM25_COOK AND PHILLIP,PM25_EARLWOOD,PM25_LIDCOMBE,PM25_LIDCOMBE (FORMER),PM25_LINDFIELD,PM25_LIVERPOOL,PM25_MACARTHUR,PM25_MACQUARIE PARK,PM25_OAKDALE,PM25_PARRAMATTA NORTH ,PM25_PENRITH,PM25_PROSPECT,PM25_RANDWICK,PM25_RICHMOND,PM25_ROUSE HILL,PM25_ROZELLE,PM25_ST MARYS,PM25_SYDNEY,PM25_VINEYARD,PM25_WOOLOOWARE,PM25_ARMIDALE,PM25_BOURKE,PM25_BROKEN HILL,PM25_BURONGA,PM25_COBAR,PM25_CONDOBOLIN,PM25_COOMA,PM25_COOMBAH,PM25_COWRA,PM25_DENILIQUIN,PM25_DUBBO,PM25_EUSTON,PM25_GRAFTON,PM25_GRIFFITH,PM25_GUNNEDAH,PM25_GUNNEDAH SOUTH EAST,PM25_HAY,PM25_HILLSTON,PM25_IVANHOE,PM25_JUNEE,PM25_KYALITE,PM25_LAKE VICTORIA,PM25_LAMEROO,PM25_LISMORE,PM25_LODDON PLAINS,PM25_MERIMBULA,PM25_MOOLAWATANA,PM25_MOREE,PM25_NARRANDERA,PM25_PARKES,PM25_POONCARIE,PM25_RAND,PM25_TEMORA,PM25_TIBOOBURRA,PM25_WAGGA WAGGA NORTH,PM25_WALGETT,PM25_WALPEUP,PM25_WERRIMULL,PM25_WEST WYALONG,PM25_WHITE CLIFFS,PM25_WYCHEPROOF,PM25_CAMMERAY,PM25_CATARACT RFS,PM25_KATOOMBA,PM25_KURRAJONG HEIGHTS,PM25_LIVERPOOL SWAQS,PM25_PORT KEMBLA,PM25_PORT KEMBLA STEELWORKS,PM25_WENTWORTH FALLS,PM25_KURRI KURRI,PM25_BOWRAL,PM25_BATEMANS BAY,PM25_COFFS HARBOUR,PM25_COFFS HARBOUR,PM25_COOMA,PM25_GRAFTON,PM25_LISMORE,PM25_MERIMBULA,PM25_PORT MACQUARIE,PM25_TAREE,PM25_ULLADULLA
2018-12-31 23:00:00+10:00,0.2628,0.324783,0.288695,0.249159,6.2133,6.1122,5.0473,5.596,3.8539,0.3256,4.757,3.8791,4.4112,1.6792,0.5136,0.7678,1.0897,3.8649,5.3646,0.7275,5.9796,5.9824,2.2498,2.2369,4.4165,5.4712,4.8506,4.9086,2.0844,4.8957,4.0625,0.5762,5.9874,1.9606,3.2883,3.5414,1.7257,3.9322,2.9701,5.8861,3.5526,0.2426,1.9789,2.3632,5.8365,3.5759,3.8775,4.2535,2.0279,2.8474,2.6915,1.7668,3.9311,1.1002,1.2284,2.4159,1.5616,3.7393,1.822,3.786,0.4494,3.5593,1.6922,0.7536,2.4378,4.842,4.3632,1.5731,2.9325,0.3009,2.5801,4.2556,3.5396,5.5577,0.2832,1.501,5.6935,5.6585,0.3069,4.3702,2.9925,0.5529,1.8213,3.4153,4.1296,0.3704,4.1552,5.4244,3.6669,1.1141,2.9853,3.1917,2.19,6.083,3.4479,2.0316,6.0215,0.888,5.5354,2.5764,5.2056,4.0334,2.989,0.28,4.4102,2.9417,3.2076,4.0073,0.365,5.1548,0.8419,1.5471,5.659,4.4444,3.2488,4.5936,1.9213,4.6426,4.2553,5.4041,4.7963,4.6411,5.6606,5.6683,3.796,6.0577,4.8971,2.6234,0.482,2.9988,1.9968,2.7858,2.43,2.6477,1.2001,5.4257,5.9978,67.157,105.365,282.4,89.512,0.799,0.629,0.217,0.94,10,1,-11,23,17,12,18,15,13,15,7,15,13,25,10,19,5,6,15,10,8,22,19,2,3,13,25,8,20,9,11,23,3,15,19,4,4,11,12,7,8,19,25,18,8,24,16,21,21,9,17,4,20,14,12,5,5,4,17,20,5,15,12,15,20,21,10,15,25,6,14,4,20,24,21,11,3,15,15,6,10,19,19,12,23,7,20,16,12,9,15,4,5,6,1,18,5,8,19,22,22,7,25,12,18,16,13,13,13,23,19,24,11,22,1,8,2,13,15,16,2,23,11,10,14,15,16,20,11,8,6,3
2019-01-01 00:00:00+10:00,0.2103,0.240199,0.415773,0.440914,6.0963,5.7623,6.5732,7.61,1.8581,5.2195,2.5676,2.0918,2.0506,5.454,1.4537,3.2768,2.7479,0.492,0.1495,3.7049,0.3597,5.6822,1.2824,4.2381,4.9309,2.175,1.2916,6.0743,0.9298,4.7168,2.8118,4.8885,2.386,2.0898,4.8402,1.8568,5.4315,0.5052,4.6988,2.6326,2.4408,5.1542,3.3622,5.7523,5.9171,1.3986,2.3919,5.9486,3.6492,1.7552,0.8884,2.9417,4.3597,2.2149,1.6521,1.3707,4.263,5.5991,1.5305,3.043,5.2522,2.4641,1.0709,2.6387,5.2899,0.5243,1.501,3.8777,0.7886,4.4348,1.3318,1.3445,0.293,5.7361,5.5386,0.4805,0.9496,1.5895,1.8315,3.0004,1.6418,4.186,3.6336,4.8075,4.4172,5.6351,0.8387,1.0057,1.6577,4.1128,1.049,0.148,3.5802,6.0064,3.6311,4.826,4.9865,0.6822,3.8996,4.1095,1.2148,4.3924,0.2368,3.343,6.0293,1.4553,2.4326,4.7813,3.9585,1.7245,5.8165,1.3565,4.5688,3.5282,3.8709,0.2431,4.3512,3.7495,1.1687,5.2637,3.6578,0.761,2.8813,0.5367,2.9237,4.1086,1.2285,5.6763,1.0324,4.3225,3.5961,4.9739,0.7923,5.8008,0.7817,3.0842,5.8533,85.426,37.385,62.489,75.499,1.682,0.898,3.315,3.24,11,1,-10,21,3,12,13,21,11,17,24,16,24,8,9,11,5,9,3,3,19,7,24,19,13,17,3,11,19,6,23,18,3,5,12,7,22,18,14,3,18,1,3,6,5,12,12,2,24,19,10,8,17,13,7,5,11,24,24,18,3,12,7,19,14,4,6,9,25,23,2,20,19,6,6,13,9,5,14,20,6,20,19,6,3,24,20,6,21,5,2,6,3,18,18,17,25,1,1,11,21,8,13,24,5,15,8,16,8,22,3,19,15,11,2,5,2,18,17,6,22,14,10,8,19,21,25,8,22,10,20,25
2019-01-01 01:00:00+10:00,0.3683,0.34598,0.458698,0.454959,7.8137,7.2683,7.5747,7.6375,0.8665,5.7656,5.4796,3.6189,0.3178,1.3332,4.1557,4.0881,1.863,5.6686,3.1972,2.3926,4.4941,4.4051,0.2965,2.3321,3.3521,2.4613,0.7503,1.9735,0.8447,5.4326,2.0062,4.3476,3.9986,4.8014,0.4659,2.2811,5.0711,3.7957,4.3647,5.822,2.4364,5.8986,3.0331,2.6222,4.9897,3.5843,4.0551,4.1785,1.5842,1.7801,1.7185,0.2117,1.1475,5.0629,0.969,2.6079,1.7932,0.8486,5.1976,5.6749,2.8774,5.3369,1.8642,2.0998,3.6228,2.6389,5.5235,3.8213,5.9858,0.6944,4.9574,0.9506,2.3028,1.1892,2.1705,0.4545,3.5194,5.09,3.7188,1.1426,4.2527,3.2701,3.6501,1.3567,1.6653,2.8143,2.8223,2.0165,1.1268,5.0145,2.6273,0.1518,2.7243,3.4728,1.7446,5.1819,2.2165,1.2995,0.9954,5.5034,2.3234,2.8306,5.8572,4.566,2.9115,4.882,3.2428,5.0784,3.5307,6.0046,3.7663,2.476,2.2037,4.2119,2.8428,2.9299,3.6644,2.7532,5.8286,1.5436,0.725,3.1672,0.8889,5.9111,1.6416,3.6926,5.8534,0.2246,3.1875,5.4808,2.5918,3.6757,4.6159,0.2187,0.8674,3.4452,0.9592,96.348,61.972,66.53,85.311,3.699,2.694,3.867,3.693,12,1,-9,2,17,9,17,12,1,11,6,22,10,25,7,22,7,8,15,22,9,9,8,14,3,4,20,12,13,25,5,22,1,17,18,5,22,18,12,11,23,19,23,25,12,13,21,7,8,8,5,24,14,12,10,11,11,7,16,4,11,2,11,9,6,6,16,14,22,4,18,1,11,22,21,10,22,20,16,9,11,9,10,7,3,22,17,11,6,9,1,6,10,5,16,17,17,3,17,20,13,19,13,9,25,19,4,17,15,2,3,10,6,22,7,5,18,24,19,23,11,20,24,13,4,19,4,9,2,19,2,12
2019-01-01 02:00:00+10:00,0.3288,0.362998,0.382132,0.53333,7.971,7.8617,6.5655,7.3348,1.4053,4.7346,1.0078,3.1905,2.6124,3.69,3.7562,3.8312,5.0516,2.268,4.892,5.0652,4.1437,2.3727,1.4425,0.8984,1.2377,0.6304,1.3928,0.363,3.0629,2.8821,0.5667,3.6866,2.9023,1.0063,1.3594,1.4751,3.9149,2.2641,4.6928,1.4486,0.3711,5.5254,3.127,3.501,2.1315,1.5011,4.1345,3.1424,3.3869,3.3815,1.9972,0.3968,3.9908,1.2487,1.1039,3.5479,0.2932,2.7292,2.5251,1.1157,2.7618,1.2544,1.0735,5.1309,0.2779,4.5166,0.5318,1.4185,0.5022,5.9621,1.3575,1.1333,2.7432,3.5759,5.9082,5.0159,5.2165,2.4717,2.5036,0.7079,3.0996,4.7342,5.8721,4.7306,0.3485,3.269,2.9395,1.7084,0.5729,5.6572,2.3444,2.3777,4.4443,1.2151,5.9411,2.1289,1.1392,1.864,4.3213,2.2147,3.2894,1.6649,4.7095,1.3581,6.0868,5.9816,5.2083,4.2714,1.1054,4.9736,2.4013,5.7459,6.0815,4.735,1.8206,4.1851,1.324,1.0074,2.3816,0.2519,5.1315,3.8427,4.1391,4.9099,2.8057,3.1333,4.4527,1.1196,4.3141,1.396,0.2728,1.5711,5.9559,5.3357,3.5405,4.3126,1.9022,80.148,57.746,72.273,98.87,3.347,2.623,3.975,4.487,13,1,-8,15,6,14,18,10,23,14,14,2,15,6,7,5,1,19,11,3,13,4,20,21,16,21,16,15,5,8,19,8,19,17,1,18,22,4,24,20,15,10,14,8,1,19,19,2,24,23,16,17,20,2,15,20,18,14,14,24,15,8,7,16,8,21,17,17,20,12,21,5,13,8,19,18,3,13,20,2,18,21,9,4,6,18,23,14,7,19,7,2,8,12,6,10,4,4,15,8,20,15,4,20,9,17,18,11,6,8,4,24,8,9,11,14,21,4,19,22,3,25,2,23,24,9,24,25,10,6,8,8
2019-01-01 03:00:00+10:00,0.3557,0.276478,0.266334,0.346563,7.7947,6.8163,5.4002,6.0898,2.9999,5.9607,1.9374,0.977,4.8151,0.9113,4.303,2.05,5.4559,5.4814,0.2023,2.153,5.6818,5.6725,0.7022,3.6203,2.6118,2.0276,5.3788,4.8592,2.4515,2.967,0.3092,2.705,3.58,2.1831,5.0589,1.8878,4.3861,5.9932,4.7111,0.6988,2.555,2.9153,2.4203,2.0938,0.4419,2.1627,2.9239,1.0122,0.5298,4.9124,2.1009,3.9414,4.94,4.173,0.7699,2.4824,5.2107,4.6509,1.1899,3.2776,0.3962,1.192,0.7025,2.8134,5.0495,1.3508,1.5315,0.6867,1.7671,2.4167,3.511,2.6255,0.3937,1.5901,2.7027,3.8394,5.0537,4.1066,2.9444,5.0869,2.9339,5.7604,1.4991,5.7725,0.3678,1.9303,5.3134,2.5703,2.6564,4.6483,4.715,0.478,3.8704,0.3805,4.0655,2.5864,5.6481,1.6072,4.4908,3.2708,5.1329,0.1228,2.4869,2.1627,0.7086,1.5247,2.0372,1.2388,4.2771,2.6427,5.9265,3.4418,3.0173,2.3957,5.2764,4.5882,2.2171,3.28,0.2044,5.867,1.4887,3.0837,3.9382,2.7412,3.0651,2.2847,1.3005,2.7411,2.0399,4.7131,3.8249,0.7503,5.822,0.3131,1.2901,2.9361,3.2929,95.966,51.577,68.642,102.612,3.471,3.031,3.962,4.442,14,1,-7,22,5,17,12,16,20,20,21,10,13,10,3,2,22,2,25,11,3,18,20,6,8,7,14,11,7,11,14,4,12,17,1,14,6,18,16,2,20,15,4,25,5,20,23,13,20,13,14,7,16,5,7,2,14,22,23,3,22,17,9,24,19,12,3,19,17,5,15,23,13,3,12,3,16,4,7,24,25,25,3,18,14,12,8,9,22,16,25,10,22,1,21,22,23,23,13,5,6,24,13,21,19,20,22,22,2,17,4,22,25,13,4,6,13,22,8,25,20,20,8,23,23,1,19,13,3,20,21,10
2019-01-01 04:00:00+10:00,0.2903,0.230008,0.236886,0.337199,6.7655,6.1343,5.2158,5.8633,0.262,0.5723,2.1847,0.1879,2.8454,4.6809,4.8235,5.7373,0.9152,1.2031,1.907,1.6505,0.9246,1.6136,2.3469,5.4916,2.8297,0.5215,5.7047,5.4552,0.9934,3.0771,1.3879,2.8399,2.8967,5.4157,5.9538,1.4674,4.6754,4.7665,3.6651,1.7677,3.7892,0.8178,2.3537,3.2454,5.525,2.3958,3.2041,5.092,1.5726,0.8105,3.4311,0.5763,0.6926,0.1672,2.7569,0.3047,0.4612,5.6171,1.8291,1.7249,5.8851,1.7273,0.9042,5.4355,6.0699,4.6168,3.0083,2.4839,0.8586,4.0005,5.1715,4.8083,3.0676,5.1351,3.5088,5.4838,3.789,4.3242,2.8295,2.0411,4.6113,5.4657,5.8665,2.3794,1.0355,3.5479,5.5225,2.2304,3.5494,1.1088,2.4785,3.1338,1.6982,0.1002,5.2497,0.6318,3.4985,1.3167,3.32,2.7101,3.0519,5.6676,0.9248,3.0215,2.7461,4.499,5.3453,3.8028,3.7741,4.7364,2.1393,5.2348,2.2596,4.8972,5.9906,5.2145,2.6584,2.1641,0.5119,5.8047,0.6275,2.1669,3.1915,4.0708,0.5795,3.481,2.7729,4.7669,2.5233,3.1406,2.8063,3.7724,2.704,5.6378,3.4952,4.3025,5.0657,95.182,55.236,79.004,83.211,3.984,2.838,4.782,4.278,15,1,-6,24,5,22,22,13,2,6,16,18,15,18,1,6,7,8,23,3,10,4,4,3,3,6,11,9,7,16,21,4,18,5,21,13,5,6,6,12,8,22,25,24,21,24,6,9,9,25,8,17,7,2,17,19,22,10,23,7,1,24,19,1,10,7,15,14,22,14,16,7,8,24,21,16,8,8,19,15,25,22,25,14,2,11,15,12,15,18,22,13,21,4,1,14,1,12,8,17,24,14,5,15,6,18,10,4,17,20,5,23,8,11,17,13,9,19,22,16,23,21,19,23,13,11,20,14,12,21,20,6
2019-01-01 05:00:00+10:00,0.2257,0.193321,0.240779,0.311143,5.8617,5.5537,5.0012,5.1632,3.2221,6.0691,1.5014,4.4796,2.1764,4.7123,2.2851,3.2962,1.6851,4.9422,0.4454,0.4821,5.9568,1.3203,5.9021,2.9276,5.4806,0.9445,3.4926,4.9595,5.5622,5.5727,3.8451,0.2471,0.4467,3.1614,4.2339,3.5978,0.2219,3.7004,5.0191,5.7571,4.1764,3.4522,2.8002,4.7483,5.9537,4.1978,3.7541,5.4001,1.5067,4.3363,4.3088,3.6856,5.8252,4.2944,5.0899,1.4222,0.7155,1.6772,1.4352,5.0597,0.3773,2.7549,2.0819,6.0315,3.7599,2.5031,0.1292,1.1946,1.4317,1.4573,1.2632,2.4217,3.4025,0.7374,4.0249,3.0689,3.281,0.7787,4.2517,1.0393,5.5528,0.993,2.5125,2.0022,0.6163,2.9933,3.3532,2.996,0.201,0.1086,3.9433,2.4386,0.8105,4.1707,5.2345,3.0601,4.2338,1.008,2.7706,5.6,0.2319,3.6036,0.4527,3.5352,1.0989,4.2913,0.9053,3.3936,2.9777,2.4188,3.5503,2.3023,5.1254,1.6305,4.8607,2.0267,2.4952,3.0502,5.1009,1.9056,2.759,1.2936,0.7293,3.448,2.6622,5.8214,4.502,1.8821,2.8677,3.9873,2.288,0.1759,0.5988,3.5806,5.2332,5.2199,2.2823,94.445,68.329,78.086,91.877,3.525,2.314,4.307,4.09,16,1,-5,10,24,12,11,10,18,15,6,11,23,17,22,19,11,1,17,4,15,14,4,4,10,14,3,24,11,4,19,25,10,16,6,9,17,14,14,10,10,6,23,18,6,7,17,24,14,9,24,22,3,8,25,4,20,2,18,7,22,18,7,17,1,14,21,11,14,16,12,20,19,15,2,3,21,1,22,14,20,24,7,18,20,2,16,17,7,14,11,18,10,19,6,18,8,12,5,4,9,20,20,18,15,12,14,23,14,1,20,23,5,2,18,14,6,3,15,11,7,3,9,21,15,21,17,13,3,22,12,14
2019-01-01 06:00:00+10:00,0.2108,0.270364,0.364363,0.426766,5.0402,5.17,4.997,5.4915,0.249,4.2498,4.2072,5.9859,3.9288,2.7328,3.6193,1.0722,1.1343,1.9324,3.2607,0.2016,3.0507,0.6136,5.6409,3.6548,5.2593,3.0624,2.0078,0.7524,1.8231,2.447,4.6634,5.4179,5.6215,1.5241,1.856,1.7534,0.6656,5.4068,0.7678,1.0822,1.7659,5.5792,4.843,3.2413,0.6264,0.692,4.7776,1.8692,4.8161,5.2771,3.2669,2.0267,0.5513,2.4206,5.5787,5.0594,5.6195,1.5046,0.4875,3.4122,2.3698,2.6276,3.4198,4.9334,3.517,4.9707,5.7683,1.0279,0.5037,1.2888,4.572,2.0291,0.481,2.6432,1.9,0.8071,1.9549,5.2881,2.4833,4.0881,2.7065,5.8573,2.5633,2.6367,4.0495,0.2453,3.7769,5.5141,0.2019,3.9963,5.2242,2.4115,0.5402,3.4617,5.1678,5.7571,3.4797,5.0482,1.2841,0.696,3.6703,1.9717,5.7127,3.6454,5.2555,0.8796,3.7857,1.5381,3.5955,2.414,1.3994,4.642,4.6617,5.5985,5.3688,6.0553,5.9087,3.1636,0.1454,1.251,4.7665,0.7962,5.4908,2.2263,4.6133,2.8075,1.7229,1.7737,1.4044,0.9006,5.7744,4.9081,1.3706,0.2235,3.0181,3.3429,0.1397,97.196,69.09,72.763,83.598,3.274,1.889,3.666,3.702,17,1,-4,8,6,9,20,3,14,2,19,19,25,19,15,4,1,2,18,11,18,14,10,6,17,12,13,6,18,7,6,24,18,4,17,17,20,11,2,18,17,1,5,20,6,25,15,9,14,12,20,6,9,24,17,18,5,11,18,23,4,16,12,2,13,5,1,12,8,11,11,12,23,12,12,7,23,6,18,2,4,14,15,21,5,10,14,12,8,21,24,24,25,6,20,3,8,23,15,18,24,6,15,25,5,12,16,8,12,10,3,22,16,21,12,17,13,13,13,8,24,24,14,9,19,16,19,3,9,18,6,19
2019-01-01 07:00:00+10:00,0.3613,0.356476,0.513901,0.528547,5.3748,5.2095,5.3218,5.7198,1.9969,0.7015,3.1793,2.876,4.1131,2.7441,3.1459,4.1906,2.2131,5.6237,0.6665,0.7594,2.4567,2.4995,5.4599,4.7017,1.2404,5.9682,0.487,2.3566,1.8656,4.8185,5.2653,5.4473,4.7027,4.7861,1.0667,2.3048,3.7836,0.6973,1.5499,5.6814,2.0048,1.6781,4.8208,0.9503,4.9738,4.8568,0.7217,2.5597,0.5584,0.2605,0.3278,3.7605,5.6026,2.072,2.5999,1.3754,0.5243,5.645,2.7576,3.2662,1.9694,2.0153,0.7897,5.1094,3.3346,0.6771,5.04,4.1179,3.4425,3.7693,4.6993,1.0337,3.2746,4.2227,1.1986,5.6693,1.774,3.0224,5.0328,1.9772,4.546,4.1847,3.4115,3.7657,2.589,4.7134,1.5857,3.5821,3.3964,4.7804,2.6134,5.5008,4.9754,1.6594,1.5628,2.8021,1.2327,2.6948,1.7761,0.7048,2.3098,3.5139,2.7966,2.945,0.7371,1.6708,4.8871,5.8397,5.8513,3.81,3.964,2.2469,1.0282,5.1287,4.6771,3.1904,1.5831,4.1655,5.8029,1.1304,3.7616,2.6421,3.8697,1.7609,2.7439,3.2407,2.4935,2.2406,4.8539,0.3066,1.7879,1.9086,0.3372,1.6663,3.1684,1.6923,0.1092,88.173,66.767,65.913,89.714,2.248,1.421,2.946,2.955,18,1,-3,17,11,21,15,23,1,11,14,5,11,19,12,24,3,8,19,6,13,21,5,3,18,21,3,10,5,2,6,19,22,2,12,15,19,15,20,5,4,18,2,14,8,1,13,7,7,19,3,6,24,7,13,15,20,22,20,3,22,19,24,14,3,23,23,6,3,4,5,5,19,13,10,6,20,9,2,12,22,24,22,4,10,14,9,10,25,23,22,17,21,13,14,10,8,5,23,11,12,18,13,19,8,18,21,1,22,23,17,24,4,18,10,19,21,17,7,19,22,19,13,20,11,17,24,4,15,9,9,7
2019-01-01 8:00:00+10:00,0.7675,0.574968,0.902122,0.786968,5.0577,5.114,5.4138,5.179,1.9581,3.1175,1.6712,3.9039,0.8024,0.5029,2.1912,2.1626,4.7393,3.3388,2.8198,5.889,4.5308,3.6286,0.6623,3.0093,4.4072,2.6958,0.5245,1.6213,4.9272,4.052,1.3321,0.4342,6.0521,1.0809,1.6754,3.1417,0.7691,1.2587,1.5757,3.4831,5.6179,0.5615,0.357,1.6879,3.5873,3.0429,4.3746,2.4983,1.6639,3.85,1.1488,0.9679,3.0734,5.1366,0.6248,4.1889,3.4049,2.6483,5.1421,3.7703,5.1642,5.5754,0.6592,1.1247,2.7427,5.7791,3.4978,0.5536,1.7368,0.3294,3.1771,4.826,4.942,1.9966,5.048,4.9145,2.8395,5.1949,4.8535,5.9514,4.558,4.2826,2.8188,4.0157,0.7679,2.9941,1.6201,0.5488,1.0205,4.5424,1.9087,5.3758,5.5858,3.9706,5.052,4.4944,2.8652,2.5231,1.8783,0.5279,3.6381,2.2252,3.3496,3.203,4.0116,4.5533,4.572,1.1435,5.4483,3.7101,4.5905,1.0807,2.8791,5.4145,5.2059,0.9871,0.7377,4.2094,2.638,2.8419,5.6801,1.5888,4.4351,5.0745,4.0129,3.4497,0.6642,1.278,1.8213,5.2001,3.8555,1.8009,5.2454,2.8148,2.1641,2.2429,2.5231,97.08,79.831,72.958,102.415,1.685,0.79,2.265,2.308,19,1,-2,22,13,23,20,20,17,19,23,16,13,15,1,14,6,18,19,7,5,22,18,15,18,3,22,15,21,10,4,15,8,15,11,11,13,7,7,25,24,21,17,15,23,10,23,12,25,19,6,2,24,11,19,14,9,24,14,17,14,5,4,25,20,6,2,15,11,9,17,8,23,15,3,24,18,10,15,11,4,9,3,13,3,14,12,12,17,24,21,10,3,15,7,12,6,2,10,24,18,24,4,8,16,14,25,7,9,21,19,11,12,12,14,8,9,7,20,11,19,1,5,12,21,13,8,16,14,22,23,8
