datetime,OZONE_BARGO,OZONE_BRINGELLY,OZONE_CAMDEN,OZONE_CAMPBELLTOWN_WEST,OZONE_LIVERPOOL,OZONE_OAKDALE,forecast_hours
2023-06-12 15:00:00+10:00,1.7045,2.0622,0.881483,1.1098,1.927,1.7067,-47
2023-06-12 16:00:00+10:00,1.3767,1.6053,0.552683,0.9475,1.1205,1.2707,-46
2023-06-12 17:00:00+10:00,0.559,0.8908,0.326983,0.3943,0.2988,2.2438,-45
2023-06-12 18:00:00+10:00,0.1188,0.232796329,0.289383,0.0298,0.1143,2.2478,-44
2023-06-12 19:00:00+10:00,0.1967,0.1934,0.133583,0.0585,0.0775,2.2713,-43
2023-06-12 20:00:00+10:00,0.0765,0.1402,0.070283,0.0273,0.0593,2.0905,-42
2023-06-12 21:00:00+10:00,0.0757,0.122,0.014683,0.0317,0.0487,1.9993,-41
2023-06-12 22:00:00+10:00,0.0688,0.073,0.022483,0.0168,0.0488,1.9833,-40
2023-06-12 23:00:00+10:00,0.075,0.082477265,0.003383,0.0243,0.0553,1.8967,-39
2023-06-13 00:00:00+10:00,0.0752,0.0537,0.016583,0.0203,0.0558,2.2488,-38
2023-06-13 02:00:00+10:00,0.0872,0.12046582,0.024218,0.0345,0.0896,2.2689,-37
2023-06-13 03:00:00+10:00,0.0685,0.085795855,0.026518,0.0103,0.0273,2.1578,-36
2023-06-13 04:00:00+10:00,0.0628,0.102519063,0.050318,0.0132,0.0332,2.287,-35
2023-06-13 05:00:00+10:00,0.0688,0.091283609,0.030318,0.0165,0.0348,2.1492,-34
2023-06-13 06:00:00+10:00,0.0662,0.086603662,0.055918,0.0187,0.0312,1.7672,-33
2023-06-13 07:00:00+10:00,0.0958,0.093007289,0.061218,0.032,0.0598,1.4583,-32
2023-06-13 08:00:00+10:00,0.3057,0.115456099,0.083718,0.1392,0.0453,1.486,-31
2023-06-13 09:00:00+10:00,1.3485,0.227341461,0.090618,0.3033,0.1558,2.1562,-30
2023-06-13 10:00:00+10:00,1.4555,0.409520978,0.319918,0.2327,0.3787,2.2923,-29
2023-06-13 11:00:00+10:00,1.8793,0.79119408,0.244018,0.4798,1.1935,2.4577,-28
2023-06-13 12:00:00+10:00,2.2347,1.342828172,0.678818,1.0303,1.8445,2.5543,-27
2023-06-13 13:00:00+10:00,2.464,1.785959559,0.780618,1.9102,2.4177,2.7558,-26
