datetime,OZONE_COOK_AND_PHILLIP,OZONE_EARLWOOD,OZONE_LIDCOMBE,OZONE_MACQUARIE_PARK,OZONE_RANDWICK,OZONE_ROZELLE,forecast_hours
2023-06-12 15:00:00+10:00,0.9737,2.340743042,2.636835,2.85125,2.403825,2.523275,-47
2023-06-12 16:00:00+10:00,0.8253,1.978586819,2.195135,2.33665,2.100325,2.401275,-46
2023-06-12 17:00:00+10:00,0.2013,1.441535815,1.702435,1.00185,2.255825,1.023075,-45
2023-06-12 18:00:00+10:00,0.4502,1.075280316,0.833735,1.80235,2.333025,1.439975,-44
2023-06-12 19:00:00+10:00,0.1313,0.512594845,0.354635,1.37705,1.129125,1.479875,-43
2023-06-12 20:00:00+10:00,-0.149,0.360656034,0.035835,0.58225,1.599525,1.523275,-42
2023-06-12 21:00:00+10:00,-0.1258,0.30303143,0.063135,0.23985,1.324425,1.428575,-41
2023-06-12 22:00:00+10:00,-0.2202,0.263030406,0.035435,0.23665,1.388425,1.218075,-40
2023-06-12 23:00:00+10:00,-0.0792,0.162812045,0.071135,0.17005,0.898025,0.834075,-39
2023-06-13 00:00:00+10:00,-0.03,-0.0045,0.235235,0.15045,0.883725,0.885975,-38
2023-06-13 02:00:00+10:00,0.3242,0.100562242,-0.023307,0.17335,0.60505,0.748875,-37
2023-06-13 03:00:00+10:00,1.0933,0.268716494,-0.019107,0.0895,0.72105,1.075475,-36
2023-06-13 04:00:00+10:00,1.0322,0.21553,-0.020407,0.1958,0.71645,0.653175,-35
2023-06-13 05:00:00+10:00,0.5317,0.20113281,-0.028807,0.245,0.96935,0.750975,-34
2023-06-13 06:00:00+10:00,-0.1522,-0.065549816,-0.043807,0.0641,0.35875,0.437775,-33
2023-06-13 07:00:00+10:00,-0.0838,-0.090642771,0.060293,0.0774,0.05995,0.112975,-32
2023-06-13 08:00:00+10:00,0.02,-0.049103103,0.075393,0.1534,0.11035,0.163675,-31
2023-06-13 09:00:00+10:00,0.1738,0.135533571,0.248593,0.7373,0.26885,0.280875,-30
2023-06-13 10:00:00+10:00,0.258,0.77809958,1.168293,1.9292,0.47405,0.533075,-29
2023-06-13 11:00:00+10:00,0.5492,1.604075065,1.818693,2.1181,1.68795,2.095875,-28
2023-06-13 12:00:00+10:00,1.3863,2.079907701,2.184593,2.2759,2.14705,2.582875,-27
2023-06-13 13:00:00+10:00,1.975,2.519352233,2.577093,2.37,2.66945,2.834175,-26
2023-06-13 14:00:00+10:00,1.532,2.379738279,2.443393,2.4783,2.67105,2.791075,-25
2023-06-13 15:00:00+10:00,1.0567,2.276597625,2.427093,2.4693,2.55945,2.756875,-24
2023-06-13 16:00:00+10:00,0.1065,1.703857451,1.942593,2.0701,1.99055,2.418575,-23
2023-06-13 17:00:00+10:00,0.1732,1.027824888,1.044293,2.4114,1.38015,1.781775,-22
2023-06-13 18:00:00+10:00,1.0058,1.298430531,1.436093,2.1308,1.22245,1.515575,-21
2023-06-13 19:00:00+10:00,0.4412,1.431930252,1.749793,1.8452,1.42135,1.589075,-20
2023-06-13 20:00:00+10:00,0.316,0.835318625,1.064293,1.2639,0.71745,1.292775,-19
2023-06-13 21:00:00+10:00,1.0772,1.344420549,1.449493,1.2045,1.50585,1.567275,-18
2023-06-13 22:00:00+10:00,1.0322,1.128508793,0.997793,1.6095,1.55585,1.765575,-17
2023-06-13 23:00:00+10:00,1.5095,1.356606376,1.172393,2.0963,1.63435,2.022975,-16
2023-06-14 00:00:00+10:00,1.6188,-0.0045,1.729793,2.0855,1.72685,2.157175,-15
2023-06-14 02:00:00+10:00,1.5219,1.648842012,1.561013,2.0645,1.942325,2.127775,-14
2023-06-14 03:00:00+10:00,1.7317,1.3892,1.670413,2.3253,1.932825,2.430475,-13
2023-06-14 04:00:00+10:00,1.9077,1.2857,1.562813,2.3208,1.994125,2.238175,-12
2023-06-14 05:00:00+10:00,1.7032,1.4432,1.025513,2.0415,1.575625,2.185375,-11
2023-06-14 06:00:00+10:00,0.2753,0.3092,0.060213,1.9684,0.834225,1.785075,-10
2023-06-14 07:00:00+10:00,0.1223,0.06,0.104613,1.2608,0.127425,0.854175,-9
2023-06-14 08:00:00+10:00,0.3973,0.2162,0.469913,1.2178,0.245425,0.811375,-8
2023-06-14 09:00:00+10:00,0.7353,1.1133,1.194413,1.8319,1.071025,1.472575,-7
2023-06-14 10:00:00+10:00,1.1987,1.9838,2.283913,2.2767,2.034625,2.013911088,-6
2023-06-14 11:00:00+10:00,1.5652,2.6667,2.635113,2.3928,2.466325,2.395233289,-5
2023-06-14 12:00:00+10:00,1.6667,2.7115,2.801813,2.5542,2.612425,2.517019298,-4
2023-06-14 13:00:00+10:00,1.9412,2.7557,2.796413,2.4628,2.668425,2.600992412,-3
2023-06-14 14:00:00+10:00,1.6767,2.6497,2.741413,2.4632,2.556225,2.47317039,-2
2023-06-14 15:00:00+10:00,1.147,2.5622,2.584013,2.1985,2.328025,2.182195564,-1
2023-06-14 16:00:00+10:00,0.6762,2.2453,2.227213,1.9793,1.85933442,1.798662991,0
2023-06-14 17:00:00+10:00,1.242414832,1.849906564,1.886717796,2.088999271,2.145590305,2.057825565,1
2023-06-14 18:00:00+10:00,1.194988728,1.648226142,1.76609993,2.024044752,2.118294477,2.08422327,2
2023-06-14 19:00:00+10:00,1.062383652,1.458563924,1.568388224,1.906247616,1.970365047,1.976271629,3
2023-06-14 20:00:00+10:00,0.966821969,1.407742262,1.461479187,1.782612801,1.851194382,1.914134502,4
2023-06-14 21:00:00+10:00,0.990085423,1.444885731,1.499246836,1.804713607,1.821823835,1.935826302,5
2023-06-14 22:00:00+10:00,1.005556822,1.460516095,1.496588111,1.813248754,1.819967508,1.945609093,6
2023-06-14 23:00:00+10:00,1.030833364,1.452000022,1.484176874,1.781505108,1.828110695,1.939987779,7
2023-06-15 00:00:00+10:00,1.102200866,1.450542808,1.465409398,1.755755424,1.850213408,1.92772615,8
2023-06-15 01:00:00+10:00,1.160787463,1.421812177,1.367271662,1.677902102,1.822187543,1.853333235,9
2023-06-15 02:00:00+10:00,1.201946735,1.377705336,1.282185078,1.587816477,1.756638169,1.832232952,10
