datetime,OZONE_PARRAMATTA_NORTH,OZONE_PENRITH,OZONE_RICHMOND,OZONE_ROUSE_HILL,OZONE_ST_MARYS,forecast_hours
2023-06-12 15:00:00+10:00,2.5588,1.60425,2.008197,2.6125,1.784931,-47
2023-06-12 16:00:00+10:00,2.0072,1.03855,2.034597,2.3698,1.672731,-46
2023-06-12 17:00:00+10:00,1.2556,0.34775,1.231497,2.1823,0.964031,-45
2023-06-12 18:00:00+10:00,0.6179,0.06605,0.780797,2.0588,0.585231,-44
2023-06-12 19:00:00+10:00,0.1939,0.04195,0.358297,2.2297,0.347231,-43
2023-06-12 20:00:00+10:00,0.0702,0.02415,0.330497,2.1947,0.176931,-42
2023-06-12 21:00:00+10:00,0.0526,0.02415,0.150897,2.0752,0.186431,-41
2023-06-12 22:00:00+10:00,0.0381,0.01185,0.128397,2.0557,0.130431,-40
2023-06-12 23:00:00+10:00,0.0392,-0.00475,0.119697,2.0155,0.031731,-39
2023-06-13 00:00:00+10:00,0.0354,0.00265,0.072797,1.9565,0.005731,-38
2023-06-13 02:00:00+10:00,0.113125,0.004975,0.052486,1.5223,0.058143,-37
2023-06-13 03:00:00+10:00,0.107625,-0.009825,0.013286,1.2527,0.048543,-36
2023-06-13 04:00:00+10:00,0.134825,-0.006325,0.032786,1.1835,0.025043,-35
2023-06-13 05:00:00+10:00,0.049325,-0.006525,0.031686,1.1662,0.016543,-34
2023-06-13 06:00:00+10:00,0.047125,-0.002625,0.020886,1.135,0.006243,-33
2023-06-13 07:00:00+10:00,0.061525,0.003575,0.047686,0.1183,0.030643,-32
2023-06-13 08:00:00+10:00,0.119725,0.036775,0.297586,0.4345,0.090143,-31
2023-06-13 09:00:00+10:00,0.630325,0.187275,0.501286,0.8202,0.206743,-30
2023-06-13 10:00:00+10:00,1.523825,0.326275,0.487786,1.4225,0.179843,-29
2023-06-13 11:00:00+10:00,1.728025,0.519275,1.398386,1.9515,0.576743,-28
2023-06-13 12:00:00+10:00,2.212125,0.996275,2.731186,2.619,1.797943,-27
2023-06-13 13:00:00+10:00,2.415325,2.041475,2.778086,2.6543,2.574443,-26
2023-06-13 14:00:00+10:00,2.291625,1.993375,2.781186,2.8385,2.578843,-25
2023-06-13 15:00:00+10:00,2.262525,2.582075,2.764986,2.8035,2.596543,-24
2023-06-13 16:00:00+10:00,1.846425,1.719375,2.478586,2.3168,2.096343,-23
2023-06-13 17:00:00+10:00,0.750025,0.271475,1.510486,2.455,0.762443,-22
2023-06-13 18:00:00+10:00,1.483825,1.214875,1.772386,2.2387,2.078543,-21
2023-06-13 19:00:00+10:00,1.498225,1.879775,2.087086,1.89,1.724943,-20
2023-06-13 20:00:00+10:00,1.207725,1.739275,1.832686,1.9623,0.563443,-19
2023-06-13 21:00:00+10:00,1.157825,1.699575,1.554986,2.0498,0.785543,-18
2023-06-13 22:00:00+10:00,1.130525,0.806575,1.286586,2.0462,0.348043,-17
2023-06-13 23:00:00+10:00,1.914025,0.865775,0.902986,1.924,0.436443,-16
2023-06-14 00:00:00+10:00,1.966725,0.867475,1.694286,1.8593,0.720443,-15
2023-06-14 02:00:00+10:00,1.682175,1.80735,1.784785,2.2692,0.199454,-14
2023-06-14 03:00:00+10:00,1.622075,1.28395,2.099885,2.2267,0.345354,-13
2023-06-14 04:00:00+10:00,1.609875,1.39755,2.067685,2.0012,0.521554,-12
2023-06-14 05:00:00+10:00,0.962275,0.41165,1.722885,1.9148,0.258154,-11
2023-06-14 06:00:00+10:00,0.238575,0.06835,1.839285,1.6475,1.357054,-10
2023-06-14 07:00:00+10:00,0.075075,0.03205,2.280985,1.1778,0.218854,-9
2023-06-14 08:00:00+10:00,0.370775,0.49565,2.501385,1.461,0.358954,-8
2023-06-14 09:00:00+10:00,2.191646689,2.40045,2.449492937,2.2512,2.306220143,-7
2023-06-14 10:00:00+10:00,2.525390528,2.58795,2.693040256,2.7372,2.534032715,-6
2023-06-14 11:00:00+10:00,2.608380467,2.63285,2.752702861,2.8598,2.589513145,-5
2023-06-14 12:00:00+10:00,2.615392136,2.62645,2.752430924,2.8805,2.587294683,-4
2023-06-14 13:00:00+10:00,2.683036456,2.75435,2.84864692,2.8878,2.694371806,-3
2023-06-14 14:00:00+10:00,2.684850461,2.78705,2.866482313,2.8583,2.717073192,-2
2023-06-14 15:00:00+10:00,2.628814955,2.71565,2.804785654,2.8172,2.651779343,-1
2023-06-14 16:00:00+10:00,2.513854871,2.65855,2.724795651,2.6422,2.578379205,0
2023-06-14 17:00:00+10:00,2.33501029,2.843542099,3.02624774,2.942033052,2.729163408,1
2023-06-14 18:00:00+10:00,1.769910455,2.275492191,2.409748793,2.32772994,2.226854563,2
2023-06-14 19:00:00+10:00,1.35496974,1.67163384,1.945327163,2.105176687,1.705312967,3
2023-06-14 20:00:00+10:00,1.019829273,1.157817364,1.59375453,2.046795845,1.248862743,4
2023-06-14 21:00:00+10:00,0.80062902,0.900628567,1.44797039,2.171521425,0.966263413,5
2023-06-14 22:00:00+10:00,0.748210549,0.810554266,1.342414856,2.244889021,0.807592928,6
2023-06-14 23:00:00+10:00,0.70584166,0.743315279,1.217357516,2.237262964,0.659473002,7
2023-06-15 00:00:00+10:00,0.684223533,0.699805498,1.083160639,2.22969389,0.514965594,8
2023-06-15 01:00:00+10:00,0.697571456,0.672156334,0.953396916,2.19715333,0.353203118,9
2023-06-15 02:00:00+10:00,0.761895299,0.69477433,0.852685392,2.193282604,0.253917992,10
2023-06-15 03:00:00+10:00,0.799742579,0.675322771,0.740310907,2.150652647,0.171083197,11
2023-06-15 04:00:00+10:00,0.769481063,0.57013464,0.602241099,2.052568436,0.077448025,12
2023-06-15 05:00:00+10:00,0.707362473,0.546657801,0.571891606,2.006790876,0.053933501,13
2023-06-15 06:00:00+10:00,0.556609333,0.521676779,0.503524721,1.867499709,0.012226403,14
2023-06-15 07:00:00+10:00,0.447727203,0.376898587,0.395751446,1.603542447,0,15
2023-06-15 08:00:00+10:00,0.37607497,0.256342411,0.403271556,1.362143755,0,16
2023-06-15 09:00:00+10:00,0.442892849,0.45232743,0.575091124,1.330955029,0.176406503,17
2023-06-15 10:00:00+10:00,0.964529037,0.89942944,1.038592219,1.585122228,0.744549811,18
2023-06-15 11:00:00+10:00,1.434286833,1.418263316,1.573743582,1.924615741,1.368674517,19
2023-06-15 12:00:00+10:00,1.892674685,1.87816751,2.04221487,2.290512323,1.931843042,20
2023-06-15 13:00:00+10:00,2.180032015,2.212907314,2.329761267,2.503132582,2.287229538,21
