datetime,OZONE_BARGO,OZONE_BRINGELLY,OZONE_CAMDEN,OZONE_CAMPBELLTOWN_WEST,OZONE_LIVERPOOL,OZONE_OAKDALE,forecast_hours
2023-04-28 23:00:00+10:00,0.0598,0.1073,0.303167,0.0348,0.0903,1.9997,-23.0
2023-04-29 00:00:00+10:00,1.3553,0.0943,0.262567,0.0358,0.0895,1.962,-22.0
2023-04-29 02:00:00+10:00,2.3892,0.6861,0.553669,0.4143,0.7321,1.6106,-21.0
2023-04-29 03:00:00+10:00,1.3572,0.5128,0.728769,1.0483,0.5318,1.4693,-20.0
2023-04-29 04:00:00+10:00,0.151,0.4398,0.587469,0.057,0.3863,1.5343,-19.0
2023-04-29 05:00:00+10:00,0.0627,0.2718,0.419869,0.0008,0.1358,1.3533,-18.0
2023-04-29 06:00:00+10:00,0.0912,0.112,0.557969,0.004,0.0358,1.3403,-17.0
2023-04-29 07:00:00+10:00,0.0788,0.1193,0.514169,0.1028,0.0923,1.4848,-16.0
2023-04-29 08:00:00+10:00,0.1162,0.1047,0.328369,0.1245,0.0952,1.406,-15.0
2023-04-29 09:00:00+10:00,0.8132,0.2633,0.557269,0.1328,0.1852,1.3148,-14.0
2023-04-29 10:00:00+10:00,1.2667,0.8287,0.899269,0.1557,0.2533,1.708,-13.0
2023-04-29 11:00:00+10:00,1.3187,0.8783,0.738869,0.4343,0.4287,1.9657,-12.0
2023-04-29 12:00:00+10:00,1.4595,0.9413,0.931669,0.4507,0.5315,2.2843,-11.0
2023-04-29 13:00:00+10:00,1.5672,1.4392,2.126169,0.4468,0.5652,2.0295,-10.0
2023-04-29 14:00:00+10:00,1.79,1.8315,2.129869,1.2275,1.084,1.9713,-9.0
2023-04-29 15:00:00+10:00,2.0343,1.9692,1.845669,1.4605,0.9443,2.452605438492921,-8.0
2023-04-29 16:00:00+10:00,1.6632,1.671,1.468569,1.3572,1.0668,2.2358998173739213,-7.0
2023-04-29 17:00:00+10:00,1.7522,1.239,1.345969,1.1442,1.1753,2.272655964811009,-6.0
2023-04-29 18:00:00+10:00,1.8662,1.5625,1.551469,1.5075,0.3913,2.4858292111540123,-5.0
2023-04-29 19:00:00+10:00,2.0943,1.5778,1.691869,1.392,1.2807,2.547533013113741,-4.0
2023-04-29 20:00:00+10:00,2.249,1.719,1.937069,2.1352,0.9528,2.6815323538402085,-3.0
2023-04-29 21:00:00+10:00,2.3608,2.0425,2.199069,1.845,1.3805,2.842983037216773,-2.0
2023-04-29 22:00:00+10:00,2.3238,2.1918,2.232069,2.0577,1.8973,2.8813314281919764,-1.0
2023-04-29 23:00:00+10:00,2.43,2.2577,2.342369,2.2343,2.2038,2.932003,0.0
2023-04-30 00:00:00+10:00,5.771778,7.472164,9.58305,15.41192,21.26263,2.073676,1.0
2023-04-30 01:00:00+10:00,1.753339,1.459437,1.577857,1.389879,1.25007,2.06899,2.0
2023-04-30 02:00:00+10:00,1.738417,1.449678,1.575297,1.371545,1.240117,2.066323,3.0
2023-04-30 03:00:00+10:00,1.725558,1.441513,1.573756,1.355846,1.232545,2.065385,4.0
2023-04-30 04:00:00+10:00,1.713738,1.43434,1.571608,1.342492,1.226611,2.065938,5.0
2023-04-30 05:00:00+10:00,12.70302,9.428086,1.568757,1.331496,21.22214,2.067988,6.0
2023-04-30 06:00:00+10:00,1.693583,1.422321,11.566,6.32248,1.218737,2.071624,7.0
2023-04-30 07:00:00+10:00,1.68504,1.417055,1.563403,1.314644,1.21607,2.07694,8.0
2023-04-30 08:00:00+10:00,1.678123,1.412393,1.562171,1.307415,1.212067,2.081703,9.0
2023-04-30 09:00:00+10:00,1.674948,1.409571,1.56315,1.302798,1.206854,2.085904,10.0
2023-04-30 10:00:00+10:00,1.680049,1.411223,1.567939,7.30565,1.20222,2.087749,11.0
2023-04-30 11:00:00+10:00,11.70023,6.423788,12.57833,1.324603,1.20499,2.08577,12.0
2023-04-30 12:00:00+10:00,1.735458,1.450585,1.594918,1.368119,1.227647,2.075592,13.0
2023-04-30 13:00:00+10:00,1.770516,1.484493,1.611665,1.422563,14.26932,2.061695,14.0
2023-04-30 14:00:00+10:00,1.79141,1.511017,1.614942,1.452569,1.296298,2.06988,15.0
2023-04-30 15:00:00+10:00,1.796371,1.520411,1.614447,8.458461,1.304604,2.084254,16.0
2023-04-30 16:00:00+10:00,1.79654,1.523862,1.626021,1.461236,1.312631,2.097209,17.0
2023-04-30 17:00:00+10:00,1.792117,7.522835,1.632233,1.461694,16.31722,2.100985,18.0
2023-04-30 18:00:00+10:00,18.78313,1.514353,15.62586,11.45631,1.310846,2.091759,19.0
2023-04-30 19:00:00+10:00,1.76701,1.488259,1.597966,1.440891,1.286366,2.061799,20.0
2023-04-30 20:00:00+10:00,1.736712,12.44705,1.558172,1.41381,8.249587,2.014857,21.0
2023-04-30 21:00:00+10:00,1.680674,1.386045,1.508105,1.369056,1.199105,18.94632,22.0
2023-04-30 22:00:00+10:00,7.578593,1.275739,1.423289,10.28643,1.111176,16.82504,23.0
2023-04-30 23:00:00+10:00,1.393565,21.06745,1.266353,1.132535,0.948221,15.59904,24.0

STATISTICS (BNN),MAE,RMSE,MAPE,PEARSON_R,R_SQUARE,MEAN_FC,MEAN_OBS,STD_FC,STD_OBS,MBE
BARGO,0.72653515625,0.84891796875,131.633640625,0.67709375,-1.96782421875,1.49112109375,1.49112109375,0.70496484375,0.662390625,0.72653515625
BRINGELLY,0.59003125,0.6902421875,68.794078125,0.8253828125,-0.52463671875,1.24900390625,1.24900390625,0.8386875,0.712953125,0.59003125
CAMDEN,0.59430078125,0.68980859375,90.8069921875,0.8011015625,-0.4596015625,1.33614453125,1.33614453125,0.7728203124999999,0.73588671875,0.59430078125
CAMPBELLTOWN_WEST,0.6619140625,0.7740351562500001,74.07413671875,0.80760546875,-1.1704921875,1.0938046875,1.0938046875,0.84930859375,0.7193828125,0.6619140625
LIVERPOOL,0.59465234375,0.69883984375,72.78625000000001,0.8098984375,-0.5564765625000001,1.06360546875,1.06360546875,0.8292265625,0.72461328125,0.59465234375
OAKDALE,0.5290390624999999,0.6248242187499999,68.64805859375,0.49175,-2.783578125,1.9728320312500005,1.9728320312500005,0.40316015625,0.49014453125,0.5290390624999999
