datetime,PM2.5_91355,forecast_hours,,,,,,,
31/05/2023 10:00,11.692,-11,,,,,,,
31/05/2023 11:00,10.983,-10,,,,,,,
31/05/2023 12:00,7.033,-9,,,,,,,
31/05/2023 13:00,6.587,-8,,,,,,,
31/05/2023 14:00,9.133,-7,,,,,,,
31/05/2023 15:00,6.929,-6,,,,,,,
31/05/2023 16:00,9.984,-5,,,,,,,
31/05/2023 17:00,9.804,-4,,,,,,,
31/05/2023 18:00,12.5,-3,,,,,,,
31/05/2023 19:00,12.346,-2,,,,,,,
31/05/2023 20:00,16.208,-1,,,,,,,
31/05/2023 21:00,17.69,0,,,,,,,
31/05/2023 22:00,4.687345728,1,,,,,,,
31/05/2023 23:00,3.215219857,2,,,,,,,
1/06/2023 0:00,3.136978258,3,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,R_SQUARE,MEAN_FC,MEAN_OBS,STD_FC,STD_OBS,MBE
,,,,-0.694648437,1.039714844,1.039714844,0.8013125,0.499539063,0.516289063
,,,,0.150457031,1.254332031,1.254332031,1.128695313,0.838058594,0.54796875
,,,,0.226949219,1.339675781,1.339675781,1.133605469,0.857628906,0.550316406
,,,,0.112492188,1.479304688,1.479304688,1.169800781,0.845636719,0.60571875
,,,,-0.672636719,1.697539063,1.697539063,1.200464844,0.704707031,0.735761719
,,,,-0.123171875,1.506648438,1.506648438,1.056152344,0.714726563,0.597363281
