datetime,OZONE_ALBION_PARK_SOUTH,OZONE_KEMBLA_GRANGE,OZONE_WOLLONGONG,forecast_hours
2023-09-08 21:00:00+10:00,2.6528,2.6783,2.6107,-71.0
2023-09-08 22:00:00+10:00,2.651,2.6637,2.5847,-70.0
2023-09-08 23:00:00+10:00,2.7182,2.6777,2.6353,-69.0
2023-09-09 00:00:00+10:00,2.8133,2.776,2.8088,-68.0
2023-09-09 02:00:00+10:00,2.7627,2.7734,2.844,-67.0
2023-09-09 03:00:00+10:00,2.7467,2.7255,2.8278,-66.0
2023-09-09 04:00:00+10:00,2.7293,2.5162,2.7972,-65.0
2023-09-09 05:00:00+10:00,2.7363,2.6025,2.7908,-64.0
2023-09-09 06:00:00+10:00,2.7827,2.6225,2.644,-63.0
2023-09-09 07:00:00+10:00,2.8102,2.5892,2.6045,-62.0
2023-09-09 08:00:00+10:00,2.707,2.6988,2.502,-61.0
2023-09-09 09:00:00+10:00,2.7842,2.845,2.5585,-60.0
2023-09-09 10:00:00+10:00,2.9055,2.9738,2.8005,-59.0
2023-09-09 11:00:00+10:00,2.9567,3.0778,2.927,-58.0
2023-09-09 12:00:00+10:00,3.0125,3.113,2.9748,-57.0
2023-09-09 13:00:00+10:00,3.0223,3.0843,3.0025,-56.0
2023-09-09 14:00:00+10:00,3.0342,3.1077,3.0147,-55.0
2023-09-09 15:00:00+10:00,3.0155,3.103,2.9858,-54.0
2023-09-09 16:00:00+10:00,2.8468,2.9895,2.9035,-53.0
2023-09-09 17:00:00+10:00,2.7622,2.8252,2.6188,-52.0
2023-09-09 18:00:00+10:00,2.4682,2.6827,2.206,-51.0
2023-09-09 19:00:00+10:00,2.6012,2.6373,2.2465,-50.0
2023-09-09 20:00:00+10:00,2.5843,2.5247,2.2913,-49.0
2023-09-09 21:00:00+10:00,2.521,2.4882,2.4978,-48.0
2023-09-09 22:00:00+10:00,2.237,2.4767,2.4892,-47.0
2023-09-09 23:00:00+10:00,1.91,2.4423,2.4555,-46.0
2023-09-10 00:00:00+10:00,1.552,2.3548,2.4228,-45.0
2023-09-10 02:00:00+10:00,2.1271,2.0828,2.3165,-44.0
2023-09-10 03:00:00+10:00,1.6742,1.9427,2.3055,-43.0
2023-09-10 04:00:00+10:00,1.4765,1.2257,1.637,-42.0
2023-09-10 05:00:00+10:00,1.386,0.6207,0.5305,-41.0
2023-09-10 06:00:00+10:00,1.27,0.4653,0.1695,-40.0
2023-09-10 07:00:00+10:00,2.0372,1.0092,0.8623,-39.0
2023-09-10 08:00:00+10:00,2.4765,2.5267,2.6058,-38.0
2023-09-10 09:00:00+10:00,2.9567,3.0558,2.824,-37.0
2023-09-10 10:00:00+10:00,2.9413,3.0947,2.6407,-36.0
2023-09-10 11:00:00+10:00,3.0278,3.113,2.8992,-35.0
2023-09-10 12:00:00+10:00,3.1375,3.1762,3.0638,-34.0
2023-09-10 13:00:00+10:00,3.2313,3.2592,3.145,-33.0
2023-09-10 14:00:00+10:00,3.1822,3.0317,3.2355,-32.0
2023-09-10 15:00:00+10:00,3.1717,2.6972,3.4083,-31.0
2023-09-10 16:00:00+10:00,3.1268,3.1147,3.3945,-30.0
2023-09-10 17:00:00+10:00,2.6245,3.1067,3.0713,-29.0
2023-09-10 18:00:00+10:00,1.9368,2.0437,0.543,-28.0
2023-09-10 19:00:00+10:00,1.366,1.598,0.3983,-27.0
2023-09-10 20:00:00+10:00,0.4747,0.8785,1.392,-26.0
2023-09-10 21:00:00+10:00,0.5822,0.555,1.4098,-25.0
2023-09-10 22:00:00+10:00,0.8163,0.5927,0.9513,-24.0
2023-09-10 23:00:00+10:00,0.8285,0.5983,0.3985,-23.0
2023-09-11 00:00:00+10:00,0.6752,0.0852,0.3108,-22.0
2023-09-11 02:00:00+10:00,0.6928,0.0013,0.1255,-21.0
2023-09-11 03:00:00+10:00,0.5693,0.1187,0.0895,-20.0
2023-09-11 04:00:00+10:00,0.5978,0.318,0.1057,-19.0
2023-09-11 05:00:00+10:00,0.3523,0.0218,0.0768,-18.0
2023-09-11 06:00:00+10:00,0.1803,0.047,0.0597,-17.0
2023-09-11 07:00:00+10:00,1.0922,0.205,0.4755,-16.0
2023-09-11 08:00:00+10:00,2.4782,1.2472,1.9398,-15.0
2023-09-11 09:00:00+10:00,2.9017,2.7042,2.449,-14.0
2023-09-11 10:00:00+10:00,3.087,2.9998,2.7318,-13.0
2023-09-11 11:00:00+10:00,3.074,3.1643,3.1088,-12.0
2023-09-11 12:00:00+10:00,3.0905,3.083,3.038,-11.0
2023-09-11 13:00:00+10:00,3.0628,3.0837,3.0477,-10.0
2023-09-11 14:00:00+10:00,3.0263,3.0177,3.0365,-9.0
2023-09-11 15:00:00+10:00,2.9818,2.9798,2.9953,-8.0
2023-09-11 16:00:00+10:00,2.9285,2.8297,2.9605,-7.0
2023-09-11 17:00:00+10:00,2.672,2.0707,2.4448,-6.0
2023-09-11 18:00:00+10:00,2.0075,0.7885,0.9678,-5.0
2023-09-11 19:00:00+10:00,1.9685,0.9215,0.408,-4.0
2023-09-11 20:00:00+10:00,1.409,0.7093,0.6848,-3.0
2023-09-11 21:00:00+10:00,0.6107,0.5813,0.3985,-2.0
2023-09-11 22:00:00+10:00,0.3277,0.601,0.4285,-1.0
2023-09-11 23:00:00+10:00,0.5427,0.3458,0.3372,0.0
2023-09-12 00:00:00+10:00,1.3217562437057495,1.304224967956543,1.3404383659362793,1.0
2023-09-12 01:00:00+10:00,1.2343575954437256,1.2095904350280762,1.2528899908065796,2.0
2023-09-12 02:00:00+10:00,1.26995587348938,1.2571886777877808,1.3021526336669922,3.0
2023-09-12 03:00:00+10:00,1.2890808582305908,1.2752456665039062,1.3213636875152588,4.0
2023-09-12 04:00:00+10:00,1.2678146362304688,1.2489274740219116,1.3045703172683716,5.0
2023-09-12 05:00:00+10:00,1.2135696411132812,1.1874479055404663,1.256974697113037,6.0
2023-09-12 06:00:00+10:00,1.171597599983215,1.1416068077087402,1.2234233617782593,7.0
2023-09-12 07:00:00+10:00,1.1548967361450195,1.1236952543258667,1.2121299505233765,8.0
2023-09-12 08:00:00+10:00,1.1504294872283936,1.117953538894653,1.2089015245437622,9.0
2023-09-12 09:00:00+10:00,1.1460843086242676,1.1125112771987915,1.2045300006866455,10.0
2023-09-12 10:00:00+10:00,1.1328513622283936,1.0975921154022217,1.1903663873672483,11.0
2023-09-12 11:00:00+10:00,1.1089321374893188,1.0720964670181274,1.1659283638000488,12.0
2023-09-12 12:00:00+10:00,1.0765379667282104,1.0381591320037842,1.1320234537124634,13.0
2023-09-12 13:00:00+10:00,1.04642653465271,1.0063543319702148,1.095712184906006,14.0
2023-09-12 14:00:00+10:00,1.051496148109436,1.01186203956604,1.0861001014709473,15.0
2023-09-12 15:00:00+10:00,1.1190580129623413,1.0830271244049072,1.1316404342651367,16.0
2023-09-12 16:00:00+10:00,1.2534303665161133,1.2276725769042969,1.2501153945922852,17.0
2023-09-12 17:00:00+10:00,1.4081299304962158,1.4001200199127195,1.405112385749817,18.0
2023-09-12 18:00:00+10:00,1.52077054977417,1.5293948650360107,1.5266599655151367,19.0
2023-09-12 19:00:00+10:00,1.5715758800506592,1.590773105621338,1.5880043506622314,20.0
2023-09-12 20:00:00+10:00,1.5933952331542969,1.619724154472351,1.6208910942077637,21.0
2023-09-12 21:00:00+10:00,1.61135995388031,1.6433002948760986,1.6482994556427002,22.0
2023-09-12 22:00:00+10:00,1.618241310119629,1.653226375579834,1.6616041660308838,23.0
2023-09-12 23:00:00+10:00,1.6076812744140625,1.6422784328460691,1.654825210571289,24.0
2023-09-13 00:00:00+10:00,1.5732134580612185,1.6036388874053955,1.6227164268493652,25.0
2023-09-13 01:00:00+10:00,1.5290606021881104,1.5532433986663818,1.579880952835083,26.0
2023-09-13 02:00:00+10:00,1.4820740222930908,1.4979169368743896,1.5318514108657837,27.0
2023-09-13 03:00:00+10:00,1.439619064331055,1.4494550228118896,1.492049217224121,28.0
2023-09-13 04:00:00+10:00,1.3823044300079346,1.3819918632507324,1.4349309206008911,29.0
2023-09-13 05:00:00+10:00,1.3492690324783323,1.3443517684936523,1.4041469097137451,30.0
2023-09-13 06:00:00+10:00,1.3619328737258911,1.3591983318328855,1.4182031154632568,31.0
2023-09-13 07:00:00+10:00,1.388484001159668,1.388754963874817,1.4432809352874756,32.0
2023-09-13 08:00:00+10:00,1.383676052093506,1.3803681135177612,1.4304742813110352,33.0
2023-09-13 09:00:00+10:00,1.3752562999725342,1.3671064376831057,1.4165582656860352,34.0
2023-09-13 10:00:00+10:00,1.376152276992798,1.368325114250183,1.418543815612793,35.0
2023-09-13 11:00:00+10:00,1.365579605102539,1.3593075275421145,1.4109984636306765,36.0
2023-09-13 12:00:00+10:00,1.3793377876281738,1.3752622604370115,1.4212086200714111,37.0
2023-09-13 13:00:00+10:00,1.4225056171417236,1.4221247434616089,1.4549145698547363,38.0
2023-09-13 14:00:00+10:00,1.5011200904846191,1.508824586868286,1.5265648365020752,39.0
2023-09-13 15:00:00+10:00,1.595885992050171,1.6150550842285156,1.618969202041626,40.0
2023-09-13 16:00:00+10:00,1.6721696853637695,1.7020399570465088,1.6960768699645996,41.0
2023-09-13 17:00:00+10:00,1.7252204418182373,1.7631946802139282,1.75144624710083,42.0
2023-09-13 18:00:00+10:00,1.7315964698791504,1.773047685623169,1.7611546516418457,43.0
2023-09-13 19:00:00+10:00,1.6856982707977295,1.728241205215454,1.7257815599441528,44.0
2023-09-13 20:00:00+10:00,1.6959757804870603,1.745957851409912,1.7498042583465576,45.0
2023-09-13 21:00:00+10:00,1.7244913578033447,1.7796005010604858,1.781813144683838,46.0
2023-09-13 22:00:00+10:00,1.7212555408477783,1.7761380672454834,1.778329849243164,47.0
2023-09-13 23:00:00+10:00,1.7049860954284668,1.7560701370239258,1.7599258422851562,48.0
2023-09-14 00:00:00+10:00,1.683820724487305,1.7271339893341064,1.7328760623931885,49.0
2023-09-14 01:00:00+10:00,1.6735055446624756,1.7089931964874268,1.7165621519088743,50.0
2023-09-14 02:00:00+10:00,1.6860313415527344,1.718076229095459,1.7265727519989014,51.0
2023-09-14 03:00:00+10:00,1.7072232961654663,1.7392821311950684,1.747586011886597,52.0
2023-09-14 04:00:00+10:00,1.7054150104522705,1.737853765487671,1.7484846115112305,53.0
2023-09-14 05:00:00+10:00,1.7032041549682615,1.7365622520446775,1.7505605220794678,54.0
2023-09-14 06:00:00+10:00,1.6915757656097412,1.7248330116271973,1.742172122001648,55.0
2023-09-14 07:00:00+10:00,1.6518479585647583,1.686249613761902,1.705387830734253,56.0
2023-09-14 08:00:00+10:00,1.6394078731536863,1.6723099946975708,1.6862678527832031,57.0
2023-09-14 09:00:00+10:00,1.6904709339141846,1.7284910678863523,1.7337090969085691,58.0
2023-09-14 10:00:00+10:00,1.7279609441757202,1.7711026668548584,1.7712998390197754,59.0
2023-09-14 11:00:00+10:00,1.7618732452392578,1.807722091674805,1.802468419075012,60.0
2023-09-14 12:00:00+10:00,1.7954747676849363,1.844257354736328,1.833324909210205,61.0
2023-09-14 13:00:00+10:00,1.840527057647705,1.893550157546997,1.8762264251708984,62.0
2023-09-14 14:00:00+10:00,1.8904855251312256,1.9487993717193604,1.9248027801513672,63.0
2023-09-14 15:00:00+10:00,1.940406322479248,2.0042099952697754,1.9738004207611084,64.0
2023-09-14 16:00:00+10:00,1.9677889347076416,2.0351879596710205,2.0009005069732666,65.0
2023-09-14 17:00:00+10:00,1.9316387176513672,1.9976375102996824,1.9669218063354488,66.0
2023-09-14 18:00:00+10:00,1.851078510284424,1.914753079414368,1.896946668624878,67.0
