datetime,OZONE_BERESFIELD,OZONE_NEWCASTLE,OZONE_WALLSEND,forecast_hours
2023-09-07 21:00:00+10:00,0.4732,0.648823,0.511154,-71.0
2023-09-07 22:00:00+10:00,0.2008,0.868023,0.072654,-70.0
2023-09-07 23:00:00+10:00,1.127,1.252223,0.076654,-69.0
2023-09-08 00:00:00+10:00,1.7275,1.520823,0.828854,-68.0
2023-09-08 02:00:00+10:00,3.0617,3.598797896364527,3.655644,-67.0
2023-09-08 03:00:00+10:00,3.2328,2.97755,2.810644,-66.0
2023-09-08 04:00:00+10:00,3.1175,3.05265,2.048944,-65.0
2023-09-08 05:00:00+10:00,3.2187,2.42785,2.414844,-64.0
2023-09-08 06:00:00+10:00,3.029,2.87745,2.309344,-63.0
2023-09-08 07:00:00+10:00,2.5565,2.23835,1.694544,-62.0
2023-09-08 08:00:00+10:00,2.2992,1.87615,1.782844,-61.0
2023-09-08 09:00:00+10:00,1.946,2.21505,2.314644,-60.0
2023-09-08 10:00:00+10:00,2.3453,2.29485,2.385344,-59.0
2023-09-08 11:00:00+10:00,2.205,2.36965,2.574844,-58.0
2023-09-08 12:00:00+10:00,1.9502,2.36485,2.1539391332276177,-57.0
2023-09-08 13:00:00+10:00,1.906,2.00285,2.003951868564066,-56.0
2023-09-08 14:00:00+10:00,2.4308,2.31425,2.221344,-55.0
2023-09-08 15:00:00+10:00,2.543,2.41465,2.418844,-54.0
2023-09-08 16:00:00+10:00,2.4557,2.32965,2.339844,-53.0
2023-09-08 17:00:00+10:00,2.6198,2.31465,2.717044,-52.0
2023-09-08 18:00:00+10:00,2.5412,2.02895,2.062844,-51.0
2023-09-08 19:00:00+10:00,2.1982,2.26015,2.640944,-50.0
2023-09-08 20:00:00+10:00,2.2835,2.23955,2.904844,-49.0
2023-09-08 21:00:00+10:00,2.5592,2.62665,2.923744,-48.0
2023-09-08 22:00:00+10:00,1.2042,1.97475,2.796344,-47.0
2023-09-08 23:00:00+10:00,0.773,2.30425,2.799144,-46.0
2023-09-09 00:00:00+10:00,0.1795,2.09455,2.602044,-45.0
2023-09-09 02:00:00+10:00,0.6355,1.753343,2.359753,-44.0
2023-09-09 03:00:00+10:00,0.2248,1.610143,1.913153,-43.0
2023-09-09 04:00:00+10:00,0.4607,1.124743,1.035953,-42.0
2023-09-09 05:00:00+10:00,0.208,0.730943,0.797553,-41.0
2023-09-09 06:00:00+10:00,1.1163,1.343343,0.859353,-40.0
2023-09-09 07:00:00+10:00,1.5307,1.710743,1.646253,-39.0
2023-09-09 08:00:00+10:00,1.9243,2.143943,2.276153,-38.0
2023-09-09 09:00:00+10:00,2.2648,2.306743,2.377353,-37.0
2023-09-09 10:00:00+10:00,2.3988,2.320643,2.434153,-36.0
2023-09-09 11:00:00+10:00,2.5452,2.518143,2.728453,-35.0
2023-09-09 12:00:00+10:00,2.6097,2.778243,3.019053,-34.0
2023-09-09 13:00:00+10:00,2.8473,2.939743,3.059253,-33.0
2023-09-09 14:00:00+10:00,2.8452,2.944343,3.209853,-32.0
2023-09-09 15:00:00+10:00,2.8897,3.015443,3.069753,-31.0
2023-09-09 16:00:00+10:00,2.3933,3.424743,3.473553,-30.0
2023-09-09 17:00:00+10:00,2.303,3.341743,3.425753,-29.0
2023-09-09 18:00:00+10:00,2.4835,3.319943,2.503553,-28.0
2023-09-09 19:00:00+10:00,1.796,3.169143,1.998353,-27.0
2023-09-09 20:00:00+10:00,0.9458,3.014643,1.198453,-26.0
2023-09-09 21:00:00+10:00,0.1707,2.962543,1.145453,-25.0
2023-09-09 22:00:00+10:00,0.1738,2.015743,0.849753,-24.0
2023-09-09 23:00:00+10:00,0.0773,1.703743,1.102853,-23.0
2023-09-10 00:00:00+10:00,0.0992,2.315243,1.447653,-22.0
2023-09-10 02:00:00+10:00,0.184,1.127522,0.786401,-21.0
2023-09-10 03:00:00+10:00,0.0658,0.740522,0.111101,-20.0
2023-09-10 04:00:00+10:00,0.2363,1.259922,0.093401,-19.0
2023-09-10 05:00:00+10:00,0.2582,0.147422,0.036601,-18.0
2023-09-10 06:00:00+10:00,0.1275,0.396522,0.169201,-17.0
2023-09-10 07:00:00+10:00,0.851,1.226122,0.663901,-16.0
2023-09-10 08:00:00+10:00,1.4473,1.707222,1.734501,-15.0
2023-09-10 09:00:00+10:00,1.9505,2.127522,1.860201,-14.0
2023-09-10 10:00:00+10:00,2.2467,2.259222,1.762201,-13.0
2023-09-10 11:00:00+10:00,2.7408,2.583222,2.172101,-12.0
2023-09-10 12:00:00+10:00,2.9055,3.144122,2.961101,-11.0
2023-09-10 13:00:00+10:00,3.1765,3.231922,3.313701,-10.0
2023-09-10 14:00:00+10:00,3.408,3.376622,3.299901,-9.0
2023-09-10 15:00:00+10:00,3.06,3.526622,3.502201,-8.0
2023-09-10 16:00:00+10:00,3.0065,3.523122,3.641101,-7.0
2023-09-10 17:00:00+10:00,2.715,3.384522,3.393101,-6.0
2023-09-10 18:00:00+10:00,1.1122,3.357422,2.607301,-5.0
2023-09-10 19:00:00+10:00,0.9522,3.178022,1.475801,-4.0
2023-09-10 20:00:00+10:00,0.4597,3.018522,0.980301,-3.0
2023-09-10 21:00:00+10:00,0.0538,1.126422,0.555301,-2.0
2023-09-10 22:00:00+10:00,0.0527,0.537522,0.137101,-1.0
2023-09-10 23:00:00+10:00,0.0773,1.292822,0.392001,0.0
2023-09-11 00:00:00+10:00,0.83824622631073,1.2875268459320068,1.0736074447631836,1.0
2023-09-11 01:00:00+10:00,0.7602949142456055,1.154310703277588,0.968753218650818,2.0
2023-09-11 02:00:00+10:00,0.7382258772850037,1.1292593479156494,0.9469812512397766,3.0
2023-09-11 03:00:00+10:00,0.7571192979812622,1.1282292604446411,0.955285906791687,4.0
2023-09-11 04:00:00+10:00,0.6322396397590637,1.0546165704727173,0.8454927206039429,5.0
2023-09-11 05:00:00+10:00,0.4865812063217163,0.9302921295166016,0.702653169631958,6.0
2023-09-11 06:00:00+10:00,0.4417288899421692,0.8812189698219299,0.6530582904815674,7.0
2023-09-11 07:00:00+10:00,0.4462630748748779,0.8884025812149048,0.6592860221862793,8.0
2023-09-11 08:00:00+10:00,0.457847386598587,0.903163731098175,0.673227846622467,9.0
2023-09-11 09:00:00+10:00,0.4787746071815491,0.9191910028457642,0.6932950615882874,10.0
2023-09-11 10:00:00+10:00,0.5002457499504089,0.9312317371368408,0.7103902697563171,11.0
2023-09-11 11:00:00+10:00,0.5172868967056274,0.9421660900115968,0.7245243191719055,12.0
2023-09-11 12:00:00+10:00,0.5145926475524902,0.9416206479072572,0.7234612703323364,13.0
2023-09-11 13:00:00+10:00,0.5027660131454468,0.9286852478981018,0.7105212807655334,14.0
2023-09-11 14:00:00+10:00,0.483294129371643,0.904717743396759,0.688408613204956,15.0
2023-09-11 15:00:00+10:00,0.4689193964004516,0.8780959844589233,0.6666267514228821,16.0
2023-09-11 16:00:00+10:00,0.4991015195846557,0.8920205235481262,0.6882984638214111,17.0
2023-09-11 17:00:00+10:00,0.5840469598770142,0.959440529346466,0.7691179513931274,18.0
2023-09-11 18:00:00+10:00,0.7154970169067383,1.0679506063461304,0.8979915380477905,19.0
2023-09-11 19:00:00+10:00,0.866600751876831,1.196969509124756,1.0479621887207031,20.0
2023-09-11 20:00:00+10:00,0.984656810760498,1.2980093955993652,1.1655550003051758,21.0
2023-09-11 21:00:00+10:00,1.0634783506393433,1.3631476163864136,1.2418164014816284,22.0
2023-09-11 22:00:00+10:00,1.0846284627914429,1.3849055767059326,1.2648744583129885,23.0
2023-09-11 23:00:00+10:00,1.0254677534103394,1.3487567901611328,1.2153079509735107,24.0
2023-09-12 00:00:00+10:00,0.8245013952255249,1.2010910511016846,1.0310184955596924,25.0
2023-09-12 01:00:00+10:00,0.6434222459793091,1.0398106575012207,0.849210262298584,26.0
2023-09-12 02:00:00+10:00,0.5231677293777466,0.9161983728408812,0.7221119999885559,27.0
2023-09-12 03:00:00+10:00,0.4808991849422455,0.8787851929664612,0.683012843132019,28.0
2023-09-12 04:00:00+10:00,0.4692919254302978,0.8750768303871155,0.6793354749679565,29.0
2023-09-12 05:00:00+10:00,0.466938316822052,0.8751711845397949,0.6810515522956848,30.0
2023-09-12 06:00:00+10:00,0.459656298160553,0.8778536319732666,0.680426299571991,31.0
2023-09-12 07:00:00+10:00,0.4806330502033233,0.9048258662223816,0.7041497230529785,32.0
2023-09-12 08:00:00+10:00,0.4996472895145416,0.9294117093086244,0.7241446375846863,33.0
2023-09-12 09:00:00+10:00,0.4939947724342346,0.9329090118408204,0.7190847396850586,34.0
2023-09-12 10:00:00+10:00,0.4687061905860901,0.9136528968811036,0.6918848156929016,35.0
2023-09-12 11:00:00+10:00,0.4577124118804931,0.899334728717804,0.6754326820373535,36.0
2023-09-12 12:00:00+10:00,0.4757888913154602,0.9038599729537964,0.6844134330749512,37.0
2023-09-12 13:00:00+10:00,0.5059627294540405,0.915549635887146,0.7045429348945618,38.0
2023-09-12 14:00:00+10:00,0.5434523224830627,0.9388257265090942,0.7354472875595093,39.0
2023-09-12 15:00:00+10:00,0.592065155506134,0.979379951953888,0.7824087142944336,40.0
2023-09-12 16:00:00+10:00,0.647770881652832,1.0297001600265503,0.8395720720291138,41.0
2023-09-12 17:00:00+10:00,0.6856028437614441,1.069504737854004,0.8827351331710815,42.0
2023-09-12 18:00:00+10:00,0.7207881808280945,1.0984889268875122,0.9187771677970886,43.0
2023-09-12 19:00:00+10:00,0.7707163095474243,1.1342190504074097,0.966048002243042,44.0
2023-09-12 20:00:00+10:00,0.8273183107376099,1.170925259590149,1.0174131393432615,45.0
2023-09-12 21:00:00+10:00,0.8485012054443359,1.1810016632080078,1.0361793041229248,46.0
2023-09-12 22:00:00+10:00,0.8285031914710999,1.15911066532135,1.0153312683105469,47.0
2023-09-12 23:00:00+10:00,0.7809065580368042,1.1169692277908323,0.9695567488670348,48.0
2023-09-13 00:00:00+10:00,0.7465028166770935,1.0840901136398315,0.935315489768982,49.0
2023-09-13 01:00:00+10:00,0.7243324518203735,1.066133975982666,0.9139254093170166,50.0
2023-09-13 02:00:00+10:00,0.6329788565635681,1.0076488256454468,0.8391094207763672,51.0
2023-09-13 03:00:00+10:00,0.5787355899810791,0.966137170791626,0.7935851216316223,52.0
2023-09-13 04:00:00+10:00,0.5774366855621338,0.9735450148582458,0.7983351349830627,53.0
2023-09-13 05:00:00+10:00,0.5675734877586365,0.9776127338409424,0.7971444725990295,54.0
2023-09-13 06:00:00+10:00,0.5630459785461426,0.9744449257850648,0.7933473587036133,55.0
2023-09-13 07:00:00+10:00,0.5647900700569153,0.9715692400932312,0.7892956137657166,56.0
2023-09-13 08:00:00+10:00,0.5864068865776062,0.9917390942573548,0.8050560355186462,57.0
2023-09-13 09:00:00+10:00,0.577323317527771,0.9870268106460572,0.7935683131217957,58.0
2023-09-13 10:00:00+10:00,0.5758537650108337,0.9861319065093994,0.7887082695960999,59.0
2023-09-13 11:00:00+10:00,0.6189834475517273,1.018199443817139,0.8241525888442993,60.0
2023-09-13 12:00:00+10:00,0.6482553482055664,1.0355443954467771,0.845534086227417,61.0
2023-09-13 13:00:00+10:00,0.6505368947982788,1.0375962257385254,0.8455797433853149,62.0
2023-09-13 14:00:00+10:00,0.6559886932373047,1.0486737489700315,0.8535767793655396,63.0
2023-09-13 15:00:00+10:00,0.6762757897377014,1.0691794157028198,0.8757126331329346,64.0
2023-09-13 16:00:00+10:00,0.7039624452590942,1.0947165489196775,0.9055360555648804,65.0
2023-09-13 17:00:00+10:00,0.7371434569358826,1.1207448244094849,0.9391120672225952,66.0
2023-09-13 18:00:00+10:00,0.7681676745414734,1.1344568729400637,0.9653142094612122,67.0
2023-09-13 19:00:00+10:00,0.7954596281051636,1.1419265270233154,0.9859108328819276,68.0
2023-09-13 20:00:00+10:00,0.8285073637962341,1.1536279916763306,1.012016773223877,69.0
