datetime,OZONE_PARRAMATTA_NORTH,OZONE_PENRITH,OZONE_RICHMOND,OZONE_ROUSE_HILL,OZONE_ST_MARYS,forecast_hours
2023-09-08 21:00:00+10:00,1.861225,2.701425,2.383197,2.225,2.063497,-71.0
2023-09-08 22:00:00+10:00,1.810425,2.818925,2.799197,2.7573,2.318897,-70.0
2023-09-08 23:00:00+10:00,1.833025,2.728425,2.754197,2.5375,2.184897,-69.0
2023-09-09 00:00:00+10:00,1.666425,2.263625,2.770297,2.5942,1.375797,-68.0
2023-09-09 02:00:00+10:00,1.752975,2.3445,2.631449,2.2539,1.188648,-67.0
2023-09-09 03:00:00+10:00,1.647875,2.4295,2.479349,2.5545,1.549348,-66.0
2023-09-09 04:00:00+10:00,1.365075,1.9453,2.449549,2.5858,1.392048,-65.0
2023-09-09 05:00:00+10:00,0.676375,1.4835,2.463249,2.282,0.174248,-64.0
2023-09-09 06:00:00+10:00,0.259875,1.0796,2.453749,2.3937,0.403448,-63.0
2023-09-09 07:00:00+10:00,0.567175,1.536,2.099849,2.181,0.866248,-62.0
2023-09-09 08:00:00+10:00,1.777275,2.6271,2.766849,2.5517,2.670048,-61.0
2023-09-09 09:00:00+10:00,2.312375,2.5535,2.973949,2.8283,2.774648,-60.0
2023-09-09 10:00:00+10:00,2.434375,2.6655,3.090849,2.9273,2.795148,-59.0
2023-09-09 11:00:00+10:00,2.586475,2.7971,3.203349,3.0503,2.859948,-58.0
2023-09-09 12:00:00+10:00,2.674275,2.965,3.324049,3.1303,2.927248,-57.0
2023-09-09 13:00:00+10:00,2.732575,3.0652,3.461649,3.1942,2.863548,-56.0
2023-09-09 14:00:00+10:00,2.738975,3.0219,3.549749,3.2623,2.879448,-55.0
2023-09-09 15:00:00+10:00,2.737775,2.9335,3.436649,3.1408,2.855048,-54.0
2023-09-09 16:00:00+10:00,2.641475,2.9142,3.072849,3.1502,2.857448,-53.0
2023-09-09 17:00:00+10:00,2.481575,2.8271,3.046549,2.9815,2.493848,-52.0
2023-09-09 18:00:00+10:00,1.953375,2.4756,2.535649,2.4838,1.959548,-51.0
2023-09-09 19:00:00+10:00,1.073775,1.993,1.886849,1.941,1.862948,-50.0
2023-09-09 20:00:00+10:00,2.019875,2.1583,1.578949,2.1938,1.801748,-49.0
2023-09-09 21:00:00+10:00,2.194875,1.612,1.670449,2.0678,1.820948,-48.0
2023-09-09 22:00:00+10:00,1.723375,1.1312,1.525149,1.962,1.279748,-47.0
2023-09-09 23:00:00+10:00,1.682875,0.9232,1.051149,1.6385,1.142448,-46.0
2023-09-10 00:00:00+10:00,0.910475,0.7988,1.283149,1.6122,0.881248,-45.0
2023-09-10 02:00:00+10:00,0.3452,0.51125,0.601962,1.6445,0.616367,-44.0
2023-09-10 03:00:00+10:00,0.2214,0.59995,0.717262,1.2622,0.405367,-43.0
2023-09-10 04:00:00+10:00,0.2437,0.59995,0.513162,1.6245,0.275167,-42.0
2023-09-10 05:00:00+10:00,0.0597,0.28075,0.266962,1.4492,0.188667,-41.0
2023-09-10 06:00:00+10:00,0.0788,0.32775,0.196362,1.2003,0.172567,-40.0
2023-09-10 07:00:00+10:00,0.7585,0.75985,0.671262,1.2653,0.489467,-39.0
2023-09-10 08:00:00+10:00,1.5606,1.40015,1.326462,1.8865,1.552267,-38.0
2023-09-10 09:00:00+10:00,1.8382,2.09015,2.071662,2.3025,2.277867,-37.0
2023-09-10 10:00:00+10:00,2.1791,2.59615,2.533462,2.7182,2.685367,-36.0
2023-09-10 11:00:00+10:00,2.4119,2.73885,3.018162,2.9227,2.784867,-35.0
2023-09-10 12:00:00+10:00,2.6079,2.91935,3.251962,3.1258,2.914267,-34.0
2023-09-10 13:00:00+10:00,2.7949,3.08155,3.406262,3.3363,2.937067,-33.0
2023-09-10 14:00:00+10:00,2.941,3.16425,3.463262,3.4077,2.985867,-32.0
2023-09-10 15:00:00+10:00,2.9264,3.21735,3.474362,3.429,2.984767,-31.0
2023-09-10 16:00:00+10:00,2.8195,3.15435,3.488462,3.6258,3.024967,-30.0
2023-09-10 17:00:00+10:00,2.6948,3.44655,3.269362,3.4832,2.928467,-29.0
2023-09-10 18:00:00+10:00,2.3527,3.16995,3.209462,3.0048,2.338167,-28.0
2023-09-10 19:00:00+10:00,1.7271,2.04995,2.638762,2.629,1.675167,-27.0
2023-09-10 20:00:00+10:00,0.6185,1.12335,1.789762,1.9563,1.767367,-26.0
2023-09-10 21:00:00+10:00,0.0273,1.29445,1.403562,1.0498,1.150567,-25.0
2023-09-10 22:00:00+10:00,0.0267,1.27195,1.571262,0.5885,0.712067,-24.0
2023-09-10 23:00:00+10:00,0.0225,1.06485,0.941062,0.6592,0.431467,-23.0
2023-09-11 00:00:00+10:00,0.015,1.18175,0.788062,0.5093,0.317367,-22.0
2023-09-11 02:00:00+10:00,0.0265,0.4455,0.158018,1.0815,0.338342,-21.0
2023-09-11 03:00:00+10:00,0.0222,0.3423,0.175918,0.891,0.293942,-20.0
