datetime,OZONE_ALBION_PARK_SOUTH,OZONE_KEMBLA_GRANGE,OZONE_WOLLONGONG,forecast_hours
2023-10-14 00:00:00+10:00,2.3303,2.2773,2.2787,-71.0
2023-10-14 01:00:00+10:00,2.3303,2.2773,2.2787,-70.0
2023-10-14 02:00:00+10:00,2.2733,2.295,2.0165,-69.0
2023-10-14 03:00:00+10:00,2.2397,2.0848,2.2478,-68.0
2023-10-14 04:00:00+10:00,2.2668,2.0517,2.1943,-67.0
2023-10-14 05:00:00+10:00,2.2775,2.13,2.2413,-66.0
2023-10-14 06:00:00+10:00,2.245,2.2518,2.2365,-65.0
2023-10-14 07:00:00+10:00,2.3067,2.3027,2.2683,-64.0
2023-10-14 08:00:00+10:00,2.4232,2.4395,2.3682,-63.0
2023-10-14 09:00:00+10:00,2.5875,2.6862,2.5415,-62.0
2023-10-14 10:00:00+10:00,2.8285,2.9987,2.7608,-61.0
2023-10-14 11:00:00+10:00,3.0147,3.2207,3.0638,-60.0
2023-10-14 12:00:00+10:00,3.2293,3.3762,3.2762,-59.0
2023-10-14 13:00:00+10:00,3.1907,3.3142,3.324,-58.0
2023-10-14 14:00:00+10:00,3.2723,3.3902,3.2833,-57.0
2023-10-14 15:00:00+10:00,3.2052,3.446,3.275,-56.0
2023-10-14 16:00:00+10:00,3.1927,3.404,3.306,-55.0
2023-10-14 17:00:00+10:00,3.3197,3.4762,3.3672,-54.0
2023-10-14 18:00:00+10:00,3.2625,3.4578,3.324,-53.0
2023-10-14 19:00:00+10:00,3.1748,3.438,3.3272,-52.0
2023-10-14 20:00:00+10:00,2.8338,3.0212,3.0693,-51.0
2023-10-14 21:00:00+10:00,2.809,2.8503,2.726,-50.0
2023-10-14 22:00:00+10:00,2.904,3.0363,2.9263,-49.0
2023-10-14 23:00:00+10:00,2.8483,3.0112,2.9575,-48.0
2023-10-15 00:00:00+10:00,2.27,2.9707,2.9208,-47.0
2023-10-15 01:00:00+10:00,2.27,2.9707,2.9208,-46.0
2023-10-15 02:00:00+10:00,1.6787,2.6976,2.8963,-45.0
