datetime,OZONE_BERESFIELD,OZONE_NEWCASTLE,OZONE_WALLSEND,forecast_hours
2023-10-14 00:00:00+10:00,0.2195,0.373873,0.551952,-71.0
2023-10-14 01:00:00+10:00,0.2195,0.373873,0.551952,-70.0
2023-10-14 02:00:00+10:00,0.0692,0.5824903721563218,0.18687,-69.0
2023-10-14 03:00:00+10:00,0.0608,0.069999,0.05967,-68.0
2023-10-14 04:00:00+10:00,0.1147,0.165899,0.09097,-67.0
2023-10-14 05:00:00+10:00,0.6078,0.145599,0.14987,-66.0
2023-10-14 06:00:00+10:00,0.7972,0.781799,0.54597,-65.0
2023-10-14 07:00:00+10:00,1.2695,1.130399,1.13937,-64.0
2023-10-14 08:00:00+10:00,1.951,1.992499,2.13967,-63.0
2023-10-14 09:00:00+10:00,2.332,2.448699,2.47567,-62.0
2023-10-14 10:00:00+10:00,2.7655,2.881699,2.94967,-61.0
2023-10-14 11:00:00+10:00,3.2718,3.433099,3.45507,-60.0
2023-10-14 12:00:00+10:00,3.5762,3.770699,3.77327,-59.0
2023-10-14 13:00:00+10:00,3.9575,4.012599,4.07787,-58.0
2023-10-14 14:00:00+10:00,3.7578,4.170299,4.03987,-57.0
2023-10-14 15:00:00+10:00,3.4568,3.694699,3.80037,-56.0
2023-10-14 16:00:00+10:00,3.584,3.605999,3.71457,-55.0
2023-10-14 17:00:00+10:00,3.7,3.569299,3.88927,-54.0
2023-10-14 18:00:00+10:00,3.2578,3.450499,3.56347,-53.0
2023-10-14 19:00:00+10:00,2.6887,3.093099,3.50537,-52.0
2023-10-14 20:00:00+10:00,2.255,1.865399,3.24847,-51.0
2023-10-14 21:00:00+10:00,1.483,1.734399,3.12067,-50.0
2023-10-14 22:00:00+10:00,1.0345,2.034799,1.93047,-49.0
2023-10-14 23:00:00+10:00,0.7375,1.711499,1.46057,-48.0
2023-10-15 00:00:00+10:00,0.568,1.360399,0.97877,-47.0
2023-10-15 01:00:00+10:00,0.568,1.360399,0.97877,-46.0
2023-10-15 02:00:00+10:00,0.9283,2.636933,1.304666,-45.0
