datetime,OZONE_BARGO,OZONE_BRINGELLY,OZONE_CAMDEN,OZONE_CAMPBELLTOWN_WEST,OZONE_LIVERPOOL,OZONE_OAKDALE,forecast_hours
2023-10-14 00:00:00+10:00,2.3355,2.367,2.449133,1.838,2.1123,2.2395,-23.0
2023-10-14 01:00:00+10:00,2.3355,2.367,2.449133,1.838,2.1123,2.2395,-22.0
2023-10-14 02:00:00+10:00,2.2621,1.4535,2.035598,0.3853,1.0929,2.1456,-21.0
2023-10-14 03:00:00+10:00,2.2028,1.0585,1.599298,0.0957,1.3838,2.0988,-20.0
2023-10-14 04:00:00+10:00,2.1543,0.8042,1.093898,0.0303,0.7612,2.0883,-19.0
2023-10-14 05:00:00+10:00,2.1368,0.3553,0.664698,0.1608,0.3248,2.0243,-18.0
2023-10-14 06:00:00+10:00,2.2588,0.5628,0.768998,0.5883,0.5527,2.021,-17.0
2023-10-14 07:00:00+10:00,2.3493,1.2748,1.953798,1.5527,1.7442,1.9992,-16.0
2023-10-14 08:00:00+10:00,2.4138,2.2435,2.322198,2.2258,2.3115,2.042,-15.0
2023-10-14 09:00:00+10:00,2.5473,2.6207,2.453698,2.377,2.4813,2.1895,-14.0
2023-10-14 10:00:00+10:00,2.7673,2.9333,2.622398,2.5322,2.8613,2.4343,-13.0
2023-10-14 11:00:00+10:00,2.9478,2.969,3.164398,2.8925,3.3295,2.7023,-12.0
2023-10-14 12:00:00+10:00,3.2487,3.163,3.263898,3.3227,3.3868,2.7245,-11.0
2023-10-14 13:00:00+10:00,3.198,3.5815,3.400198,3.4117,3.5672,2.8985,-10.0
2023-10-14 14:00:00+10:00,3.2552,3.6543,3.466298,3.4868,3.7332,2.8372,-9.0
2023-10-14 15:00:00+10:00,3.3308,3.4875,3.407798,3.3565,3.5385,2.9208,-8.0
2023-10-14 16:00:00+10:00,3.4337,3.395,3.460798,3.3978,3.354,3.072,-7.0
2023-10-14 17:00:00+10:00,3.4623,3.5568,3.483398,3.4653,3.3602,3.1428,-6.0
2023-10-14 18:00:00+10:00,3.4362,3.5297,3.567798,3.4848,3.1473,3.094,-5.0
2023-10-14 19:00:00+10:00,3.3597,2.9125,3.426398,3.4148,2.9823,2.9572,-4.0
2023-10-14 20:00:00+10:00,2.9788,2.2648,3.268398,3.3207,2.008,2.9152,-3.0
2023-10-14 21:00:00+10:00,2.7538,3.0402,3.001698,3.0577,2.859,2.4772,-2.0
2023-10-14 22:00:00+10:00,3.0378,2.7575,2.766498,2.6637,2.7408,2.4252,-1.0
2023-10-14 23:00:00+10:00,2.9787,2.7328,2.791098,2.8288,2.7542,2.6598,0.0
2023-10-15 00:00:00+10:00,1.5023142099380493,1.1185376644134521,1.3620795011520386,1.1829111576080322,1.2867138385772705,1.7309322357177734,1.0
2023-10-15 01:00:00+10:00,1.24460768699646,0.8306286931037903,1.0928808450698853,0.9265178442001343,0.7735711932182312,1.7455546855926514,2.0
2023-10-15 02:00:00+10:00,0.9509485960006714,0.6555126905441284,0.7552820444107056,0.8576501607894897,0.6942863464355469,1.9993902444839478,3.0
